每股净资产(元/股)_NAPS,净资产收益率(TTM)(%)_ROETTM,销售净利率(%)_Netprfrt,销售毛利率(%)_Gincmrt,流动比率(%)_Currt,速动比率(%)_Qckrt,利息保障倍数_Intcvr,现金流动负债比_OpeCcurdb,存货周转率(次)_Invtrtrrat,应收账款周转率(次)_ARTrat,流动资产周转率(次)_Currat,总资产周转率(次)_Totassrat,资产负债率(%)_Dbastrt,权益乘数(%)_Equmul
4.8135,7.288,37.3388,55.3107,1.6093,1.4708,8.3716,0.2521,3.3429,1.6605,0.7887,0.1581,18.2215,1.2228
1.9258,5.2535,3.236,10.0981,1.73,1.5513,,0.12,7.278,4.4148,0.9774,0.7293,53.4801,2.1496
1.7093,8.695,6.94,29.5612,1.4677,1.2154,7.3638,0.2288,7.295,3.6763,1.6348,0.7579,43.9399,1.7838
3.4543,4.5295,8.4109,31.9681,2.2525,1.8374,9.7287,-0.0083,2.0267,2.2217,0.5914,0.3223,47.6138,1.9089
5.5813,13.4797,11.9589,24.4425,1.4652,1.1488,45.412,0.2238,3.329,5.9161,0.9821,0.586,43.4513,1.7684
3.1664,-5.8659,-1.2314,12.3154,0.9128,0.5041,0.0811,0.0295,4.5416,5.5793,2.2588,1.2512,77.0781,4.3626
3.6519,5.1918,10.9738,37.6029,3.6014,2.8448,77.8361,0.2986,1.4745,1.6927,0.5469,0.3485,23.2091,1.3022
3.7666,19.149,7.8475,21.0475,1.3434,1.0678,21.433,0.1829,6.8963,3.9372,1.7726,1.1322,54.2421,2.1854
3.0697,4.7042,20.6358,45.2101,2.3185,2.3056,8.69,0.5208,56.0577,4.2038,0.5468,0.1626,19.4797,1.2419
3.0516,4.2206,3.2699,22.5279,2.0866,1.7842,7.1406,-0.1768,7.162,3.7417,1.3804,0.8654,32.7331,1.4866
3.5853,0.6622,0.4054,15.1662,1.2416,1.0293,1.6338,0.0238,5.1769,2.4755,1.0996,0.9352,69.9179,3.3242
4.1722,0.684,1.6467,19.4527,6.9134,6.0412,,-0.1659,3.599,5.1803,0.5436,0.3632,11.0766,1.1246
2.7107,8.1884,5.3122,20.4794,0.9968,0.733,4.0442,0.1068,5.2109,4.0715,1.7449,0.7914,57.0981,2.3309
3.3281,8.1057,6.8758,47.3042,1.1713,0.8732,3.3928,0.0151,2.0204,1.9529,0.9506,0.4799,59.1531,2.4482
2.0506,14.8974,11.7132,33.5187,1.8989,1.6539,59.2259,0.2027,4.5023,2.2867,1.0024,0.7746,42.9843,1.7539
1.443,-9.7444,-3.3141,20.1793,1.084,0.8632,-1.4842,0.134,8.2569,4.293,2.3699,1.4159,55.152,2.2298
2.9753,4.462,10.6875,42.688,3.6304,3.3833,,-0.0306,4.3757,2.5762,0.4669,0.3483,19.8324,1.2474
3.1317,1.4912,7.397,41.1609,0.88,0.6273,1.6498,0.4851,2.4376,1.7526,0.8241,0.1372,29.0715,1.4099
2.2294,-49.1685,-24.3591,14.1246,1.2978,1.2108,-36.2598,0.049,23.868,3.8148,1.9892,1.0323,53.9567,2.1719
2.0243,-36.3845,-20.4172,18.9627,0.943,0.8162,-13.4044,0.0709,6.3328,2.8386,1.2208,0.7129,67.3483,3.0626
2.5318,-13.6985,-23.3657,17.9503,1.4146,1.165,-18.6832,0.3266,4.3004,2.7342,1.1738,0.4062,31.9903,1.4704
-2.3942,,-85.2272,4.2104,0.2837,0.263,-79.3691,0.0444,31.6798,20.8923,3.6549,2.1964,391.9121,
7.4889,9.3287,4.0548,26.005,1.0528,0.7827,3.8378,0.0166,4.1416,6.5193,1.267,0.7049,69.9774,3.3308
3.1408,-20.9329,-21.9259,21.7725,1.3177,1.185,-1.3855,-0.4732,3.1323,1.8881,0.5082,0.3532,66.7729,3.0096
1.9534,10.213,7.7727,23.4409,2.7891,2.3165,547.9569,0.1055,7.0583,4.186,1.4348,0.9768,23.8121,1.3125
8.6255,2.3062,4.0182,27.829,2.8654,2.3972,,0.0272,2.4499,2.2731,0.5398,0.433,29.6145,1.4207
7.1507,9.5726,12.1679,26.18,1.3314,1.077,12.5567,0.1671,5.5512,2.7909,1.3828,0.5402,28.9581,1.4076
5.5817,2.5539,1.5362,14.629,1.3,0.9464,1.3024,-0.2547,1.7373,2.48,0.6499,0.4657,59.0066,2.4394
3.3113,20.6425,15.3325,32.9371,1.5325,1.2674,14.7375,0.6701,7.2448,5.3453,1.6257,0.7384,41.3987,1.7064
3.0011,0.6111,0.6509,25.5484,2.8953,2.2024,,-0.1653,3.3563,4.8967,1.0734,0.7393,24.3986,1.3227
5.1919,33.9792,6.2474,20.0707,1.5986,1.1352,,0.531,10.2502,231.1575,3.5828,2.8422,49.6577,1.9864
5.6526,9.156,2.395,8.3778,1.1376,0.7657,4.9578,0.1242,3.765,4.2609,1.2492,1.0687,74.7322,3.9576
4.8604,2.485,1.1592,15.7303,1.2764,0.8196,3.5732,0.1614,3.516,4.7881,1.463,0.9806,53.4495,2.1482
8.5649,2.1312,2.7497,38.3906,2.81,2.5036,,-0.0752,3.4162,2.258,0.5312,0.4374,27.6874,1.3829
11.0195,3.1486,3.0886,18.0622,1.4452,1.0181,1.9894,-0.0902,2.0576,2.747,0.6856,0.4782,55.83,2.264
2.919,9.1258,4.7135,16.4594,2.2097,1.7249,21.4188,0.1004,5.0939,4.4584,1.2962,1.1557,41.0353,1.6959
6.1409,11.3954,6.6419,17.3191,1.8105,1.3481,35.1657,-0.002,4.1345,3.1244,1.0864,0.8419,49.2875,1.9719
3.5712,6.4232,10.5867,36.0493,8.7589,5.9985,,0.3216,1.6672,30.3684,0.7593,0.5476,8.9987,1.0989
7.5491,2.4512,1.5828,13.7586,1.9101,1.4712,5.3402,-0.0542,4.471,2.9647,1.1605,0.9229,40.9484,1.6934
7.1884,0.4825,0.5196,20.4746,3.0035,2.4567,,0.0712,5.2947,3.0866,1.0111,0.7453,25.1546,1.3361
5.0287,11.1523,15.6912,45.377,4.6823,4.2565,,0.2361,3.2394,1.851,0.5875,0.5664,20.7861,1.2624
12.124,16.8313,29.6228,78.666,2.2315,1.9552,,0.2742,0.6477,2.8005,0.422,0.3664,39.372,1.6494
13.2944,20.2389,9.1858,23.1296,1.2067,0.8232,13.9465,0.254,4.9224,6.297,1.8867,0.9521,56.3212,2.2894
7.2839,6.8729,25.801,58.055,1.1369,1.1329,6.3252,0.0429,70.079,9.4305,1.4325,0.1667,36.5571,1.5762
7.7388,18.3703,10.7184,23.1919,1.7457,1.5091,,0.6592,8.5206,4.2997,1.6675,1.0223,34.6056,1.5292
7.1481,6.9219,6.6704,12.3612,18.0164,17.1647,,1.4383,23.5582,18.6776,1.3214,0.9915,4.3834,1.0458
2.2234,8.9812,8.5381,45.0901,0.6479,0.5871,2.78,0.3677,14.0608,5.6685,2.5782,0.4726,53.5756,2.154
2.9802,3.2914,5.833,34.6219,1.2664,1.2221,2.5354,0.0206,1.5662,1.077,0.5338,0.2798,49.7884,1.9916
7.5766,7.3654,6.4892,20.5493,1.9589,1.3932,6.9024,-0.0616,4.2784,2.6953,1.3818,0.8586,32.987,1.4922
5.2379,2.0082,5.2699,40.437,1.7186,1.6,,-0.1001,8.2159,1.7343,0.7097,0.2736,21.9634,1.2815
2.8319,4.8437,11.3911,58.9115,1.2223,1.2223,29.9881,-0.0126,,2.7363,0.6316,0.2821,37.7009,1.6052
4.5615,3.6046,10.4689,36.0225,2.69,2.3639,13.5939,0.2675,2.1464,1.5612,0.5245,0.2644,21.8452,1.2795
2.5748,-63.3098,-238.7395,35.0559,0.8297,0.7247,-132.5659,0.214,2.0763,1.4105,0.3168,0.1932,56.2872,2.2877
1.9101,-68.9336,-52.0821,12.5412,0.9523,0.5456,-32.0616,-0.0172,1.6332,3.3875,0.9187,0.5618,67.1647,3.0455
1.9122,2.6736,1.6682,31.9622,2.1429,1.9342,2.9275,0.1591,6.2592,3.8437,1.013,0.5942,36.6043,1.5774
1.7224,1.998,5.2249,52.8696,1.6793,1.543,3.377,0.0727,3.3606,1.0257,0.5564,0.3816,56.4768,2.2976
3.1713,10.1228,15.3454,35.2123,1.7869,1.542,,-0.0647,3.1228,2.6049,0.8325,0.4487,31.9907,1.4704
4.8035,0.8733,0.1025,19.9379,1.1099,0.6715,1.3278,0.1589,3.2841,5.542,1.597,0.8671,53.5549,2.1531
6.9707,0.463,-0.1259,13.9218,3.2027,2.8081,1.1039,0.038,3.4245,3.2239,0.4361,0.2652,19.7231,1.2457
3.7742,30.6697,21.0307,36.5115,1.8323,1.579,123.304,0.2884,6.8059,2.688,1.2506,0.7501,48.6621,1.9479
2.1484,2.3591,3.1475,35.0604,3.0929,2.5262,,-0.0909,2.9705,2.7707,0.8696,0.5942,24.3859,1.3225
2.9548,-3.4319,-5.1033,23.4157,2.3694,1.8009,,0.1711,3.8311,3.4196,1.042,0.5392,22.6024,1.292
1.8222,-25.7824,-64.2587,21.618,1.3723,1.1406,-8.1438,-0.0162,2.0171,1.0301,0.3896,0.223,42.0625,1.726
4.0725,5.4292,11.1889,52.3521,3.1083,2.6645,30.564,0.0425,2.6929,2.3715,0.7883,0.4879,24.3108,1.3212
3.9555,7.5778,4.672,23.0863,1.4755,1.1948,11.8581,0.4316,7.2621,4.1406,1.8321,0.8239,38.1264,1.6162
3.4332,9.294,11.7123,42.2663,1.2205,0.9795,7.4889,0.5118,4.4731,2.4404,1.3923,0.5238,33.2606,1.4984
2.9029,19.8146,9.4238,31.4764,1.3059,0.8691,13.417,0.0988,2.7252,3.8172,1.284,0.8001,59.1352,2.4471
3.5418,2.0936,11.292,61.9093,16.2535,15.9607,,0.4611,4.8654,2.9985,0.2469,0.1739,4.7417,1.0498
2.4178,6.7336,5.4439,19.7027,1.4291,1.1951,17.0507,0.2016,5.3494,3.1235,1.1814,0.6493,44.5334,1.8029
1.621,-75.0994,-22.1875,4.4203,1.5641,1.5641,-32.9129,-0.2843,,7.0276,3.9603,2.2838,51.9446,2.0809
1.3267,1.9452,2.7536,31.6383,1.9862,1.787,2.3047,-0.347,3.3571,0.9896,0.5957,0.3737,31.3659,1.457
1.4292,1.68,4.1508,22.6137,2.6646,2.0498,,0.0819,1.559,2.6234,0.392,0.3659,35.7057,1.5553
3.7033,9.4448,18.4861,59.3662,1.2786,1.2179,4.2678,0.0419,3.9809,0.9807,0.4492,0.2511,53.7483,2.1621
2.0496,-8.289,-6.8746,25.5478,0.8884,0.6764,-2.7873,-0.1152,3.1773,3.2598,1.0104,0.4314,53.6353,2.1568
1.5108,8.5258,6.5205,21.8626,1.67,1.5136,,0.061,9.3372,2.8311,1.0726,0.7139,40.2663,1.6741
1.7487,-77.1749,-77.1934,12.1404,2.0067,1.6835,,-0.11,7.1943,2.8349,1.2085,0.7302,39.2163,1.6452
2.0126,10.7359,11.4835,51.1546,1.6662,1.4294,26.3928,-0.098,3.3974,2.8713,1.1337,0.5147,40.1774,1.6716
2.8965,6.7578,8.5101,18.652,1.9206,1.2047,9.9235,0.1071,2.0786,3.1081,0.8898,0.5337,34.1444,1.5185
1.4162,10.3958,4.129,21.7898,0.9606,0.7433,3.4227,0.3754,5.6559,4.2776,1.5408,0.8843,63.84,2.7655
2.4607,1.4534,14.6709,62.0766,9.5225,8.4785,,0.7671,1.4976,10.9168,0.3808,0.2421,6.6215,1.0709
6.7921,4.0468,2.644,15.6627,1.2112,0.8099,1.9678,0.0222,2.2728,2.4078,0.9632,0.6238,60.0923,2.5058
3.8277,4.8878,5.3462,50.748,4.126,4.1254,5.446,0.0593,1067.8805,1.8061,0.9956,0.661,31.9599,1.4697
2.0469,-42.1548,-58.8034,28.8925,1.4222,1.0503,-33.814,0.1542,1.7019,1.6006,0.6788,0.3758,48.1041,1.9269
2.1326,-38.4387,-76.7226,31.1479,1.7374,1.6987,-36.8449,0.3704,21.7704,1.7044,0.8425,0.3348,31.2422,1.4544
3.6562,6.5702,28.3776,79.9414,4.4293,4.4247,,-0.133,64.5694,1.4417,0.4112,0.2079,11.6883,1.1324
3.9726,20.8058,11.8389,38.1502,1.7876,1.3458,,0.2777,3.82,3.8362,1.4816,1.015,39.8828,1.6634
4.0105,20.462,35.296,54.1978,5.0395,4.398,733.3426,1.4367,2.5873,3.8743,0.7299,0.4711,17.2515,1.2085
3.0787,11.7391,20.6602,46.4608,3.9782,3.4351,,0.497,2.8663,2.7311,0.7571,0.5172,17.6671,1.2146
8.5268,23.3017,18.7094,73.3234,2.0168,1.9321,,0.6248,7.9799,11.7558,1.2567,0.8017,33.0252,1.4931
6.4048,5.7014,7.8952,34.1957,7.1164,5.6094,,-0.235,2.5771,25.937,0.66,0.564,12.8051,1.1469
3.9004,-3.3275,-6.9891,25.3163,1.7456,1.1938,-11.3461,0.2898,2.0066,2.3176,0.7865,0.3029,33.8485,1.5117
5.4167,6.8683,14.1046,39.1845,4.2249,4.1918,,0.4483,52.8252,2.5324,0.6518,0.4046,14.5142,1.1698
3.8662,13.4133,11.5163,27.5615,1.0778,0.914,,0.2072,6.5059,3.1517,1.2682,0.6963,44.8741,1.814
2.6434,10.3444,7.5254,36.7095,2.3397,1.9876,314.3012,0.1188,2.8516,2.2704,0.8744,0.8363,40.7786,1.6886
11.7471,0.9266,4.9123,29.1315,1.5098,1.5098,2.7379,0.339,,3.3219,0.799,0.2527,33.3437,1.5002
2.5303,17.9644,13.7112,33.3016,2.2556,1.6659,204.2903,-0.0618,3.2279,4.3124,1.1482,0.9326,37.4964,1.5999
2.772,2.3469,4.1741,34.535,1.6949,1.3937,,0.2084,1.6333,0.9124,0.3669,0.296,49.1463,1.9664
15.5862,6.4569,34.2582,90.1157,7.2928,7.2928,,0.2057,,26.9,0.1683,0.1643,13.3426,1.154
5.5216,6.7712,3.7088,14.7898,2.1,1.3464,,-0.2466,3.9852,6.1882,1.4301,1.1188,36.7028,1.5798
5.4487,15.7187,17.9599,47.5224,2.8174,2.1217,654.4989,0.0276,1.5638,3.2003,0.645,0.5903,32.5507,1.4826
4.0889,12.322,6.672,36.2866,2.1813,2.1221,186.7612,0.0452,34.5283,2.5955,1.2783,1.0469,40.9227,1.6927
4.0219,3.81,10.6042,50.8773,7.2727,6.5774,,-0.506,1.974,1.9443,0.3411,0.3139,13.3363,1.1539
3.5523,2.2494,3.0781,33.019,2.5522,2.258,,0.0687,2.9743,1.8583,0.6939,0.51,27.735,1.3838
5.2926,13.0967,19.0454,34.4124,4.9613,4.2732,,0.1735,4.0542,5.572,0.7309,0.5789,17.3128,1.2094
5.62,15.414,12.5231,30.9354,2.59,2.1898,,0.1219,5.4999,2.807,1.0653,0.7976,38.1029,1.6156
3.1784,3.3827,6.5729,30.9955,5.1663,4.6072,,-0.0878,4.3075,2.4526,0.5963,0.4431,14.4219,1.1685
6.1257,15.5496,28.1592,46.651,2.4527,2.1248,,0.1314,2.6777,4.3974,0.5623,0.4174,32.3351,1.4779
3.1107,15.1818,21.9216,44.3797,3.4266,3.3436,,0.1861,23.4364,2.6318,0.9122,0.5687,23.6537,1.3098
3.6997,21.2549,6.9488,23.1944,1.6645,1.4741,14.7531,-0.0163,10.4176,4.6829,1.7045,1.5448,55.2941,2.2368
2.4265,1.8361,5.4065,31.2792,1.1185,0.9257,2.4229,0.0735,3.471,3.8285,0.8306,0.4341,53.9487,2.1715
5.0846,12.1888,19.9816,37.0166,4.768,3.6938,28.9609,-0.1283,2.4683,3.7293,0.6234,0.5151,24.6065,1.3264
3.9114,10.272,10.7279,28.7695,2.0271,1.3277,17.177,0.0095,1.9722,2.3943,0.8684,0.6328,36.6846,1.5794
15.4976,7.432,17.8689,37.8619,7.9255,7.393,,0.8704,4.8441,4.3765,0.4509,0.3717,10.3525,1.1155
3.0036,1.1023,1.0491,19.2246,1.0591,0.7513,1.3041,0.0666,4.7639,4.6458,1.3207,0.6761,43.8144,1.7798
5.9459,13.9547,13.1412,32.274,3.9522,3.9457,,0.2531,393.2827,2.2837,1.0009,0.892,21.2658,1.2701
8.4107,9.9074,15.4361,29.7992,5.2642,4.8954,,0.5445,10.1016,3.8699,0.8968,0.5638,13.0072,1.1495
6.0262,8.9518,6.1881,22.3437,1.8803,1.4624,37.1101,0.1502,4.4,3.9465,1.1673,0.8908,40.6058,1.6837
3.8797,2.8022,7.782,48.1933,6.9812,5.6495,,0.0756,0.9571,1.2753,0.3461,0.3145,12.9469,1.1487
5.1128,15.9772,17.1335,31.9115,4.9864,4.8105,,0.8647,28.3291,5.5106,1.2761,0.8006,14.6145,1.1712
