Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
Mingyuanyun,https://www.crunchbase.com/organization/mingyuanyun,"Enterprise, Information Technology, Software","137,373",,,2,2,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"147,091",,6,6.8,6.8,"144,263","122,485.52",22.6%,790,-23.79%,13.21,-25.93%,15.37%,-5.32%,"186,254","-1,209",-0.64%,17,,,,,,,,,,,,,,,,,,2,,"Information Technology, Software"
Acsys Technologies,https://www.crunchbase.com/organization/acsys-technologies,"Consumer Electronics, Hardware, Information Technology","138,450",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,"148,290",,0.2,0,-0.2,"6,244","3,191.4",154.43%,96,-58.29%,2.06,-35.59%,41.08%,9.56%,"4,177,535","-2,285,869",-35.37%,28,,,,,,,,,,,1999-01-01,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology"
Zhiyi Tech,https://www.crunchbase.com/organization/zhiyi-tech,"Artificial Intelligence, Education, Information Technology","148,812",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",3,11-50,"Jie Li, Weiqin Xie, Yinglun Zhu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"159,714",,-0.2,-0.2,-0.1,,38.45,,,,,,,,,,,5,,,,,,,,,,,2017-05-18,day,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Education, Information Technology, Science and Engineering, Software"
Dezan Shira & Associates,https://www.crunchbase.com/organization/dezan-shira-associates,"Consulting, Financial Services, Information Technology, Legal, Marketing","156,299",3,$10M to $50M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"168,018",,0,2.5,-0.1,"56,502","47,336.98",-61.17%,165,173.26%,2.48,-20.53%,51.4%,16.27%,"784,628","444,081",130.4%,21,,,,,,,,,,,1992-01-01,year,,,,,,,,"Financial Services, Information Technology, Professional Services, Sales and Marketing"
Zhongzheng Information Technology,https://www.crunchbase.com/organization/zhongzheng-information-technology,"Graphic Design, Information Technology, Smart Building","158,094",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,Early Stage Venture,2019-05-10,,,,Series B,,,,Series B,,,,Northern Light Venture Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"169,998",,-0.4,0,8.3,249,292.48,,,,1,,100%,,"25,190,258",,,5,,,,,,,,,,,2015-01-01,year,,,For Profit,,,,,"Design, Information Technology, Real Estate"
Qinlin Technology,https://www.crunchbase.com/organization/qinlin-technology,"Communities, Consumer, Information Technology, Internet, Internet of Things","160,463",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,2,,,,Early Stage Venture,2019-04-01,,,,Series B,,,,Series B,,,,"Shangshi Fund, Xiaomi",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"172,557",,-0.1,-0.6,8.3,"20,369","21,209.24",-16.69%,"1,537",1.45%,37.64,2.67%,6.83%,-5.03%,"599,051","106,275",21.57%,16,,,,,,,,,,,2015-01-01,year,,,For Profit,,,,,"Community and Lifestyle, Information Technology, Internet Services"
Honpe Prototyping,https://www.crunchbase.com/organization/honpe-technology-shenzhen-co,"Information Technology, Manufacturing","164,201",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,501-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,"176,626",,-0.2,-0.1,2.9,177,525.04,-43.91%,13,-88.56%,2.75,4.27%,0%,-80.54%,"27,045,836","8,124,817",42.94%,10,1,,,,,,,,,,2006-01-01,year,,,For Profit,,,,,"Information Technology, Manufacturing"
Tuputech,https://www.crunchbase.com/organization/tuputech,"Artificial Intelligence, Image Recognition, Information Technology, Internet","165,420",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",1,,Mingqiang Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"177,967",,0.8,0,0,113,359.09,-71.31%,,,1,-37%,100%,10.62%,,,,33,,,,,,,,,,,,,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
OneThing Technologies,https://www.crunchbase.com/organization/onething-technologies,"Blockchain, Information Technology","172,506",5,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Lei Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"185,736",,-0.1,1,-0.6,"3,185","4,433.67",-17.33%,116,24.46%,2.66,6.67%,40.63%,-15.94%,"5,615,366","1,075,171",23.68%,1,,,,,,,,,,,,,,,For Profit,,,,,Information Technology
Ipro Technology Co. Ltd,https://www.crunchbase.com/organization/ipro-technology-co-ltd,"Computer, Consumer Electronics, CRM, Information Technology, Software","174,389",,$100M to $500M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,1001-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"187,798",,-0.1,0.1,1.8,"88,484","91,229.32",-0.86%,158,4.32%,1.47,-3.16%,74.64%,0.65%,"687,246","48,211",7.54%,2,,,,,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Sales and Marketing, Software"
