Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
Shenzhen Ronghui Tongjin Technology,https://www.crunchbase.com/organization/shenzhen-ronghui-tongjin-technology,"Financial Exchanges, Information Technology","203,365",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Shenzhen Ronghui Tongjin Technology acquired by Hong Kong Exchanges,https://www.crunchbase.com/acquisition/hong-kong-exchanges-acquires-shenzhen-ronghui-tongjin-technology--2ecb8433,Hong Kong Exchanges,https://www.crunchbase.com/organization/hong-kong-exchanges,2019-02-20,day,,,,Acquisition,,Private,,,,,,,,,,,,,,"219,321",,0,-0.2,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-20,day,,,,,,"Financial Services, Information Technology, Lending and Investments"
Yimian Data,https://www.crunchbase.com/organization/yimian-data,"Big Data, Consumer Goods, Information Technology, Software","209,887",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"226,416",,-0.2,-0.4,-0.9,"30,268","34,220.26",-2.72%,"1,465",27.78%,17.56,4.59%,12.15%,-5.28%,"597,808","30,997",5.47%,27,,,,,,,,,,,2014-05-23,day,,,For Profit,,,,,"Consumer Goods, Data and Analytics, Information Technology, Software"
Linsation Intelligent Technology Limited,https://www.crunchbase.com/organization/linsation-intelligent-technology-limited,"Health Care, Information Technology, Software","210,429",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,1-10,Po Hsun Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"227,011",,-0.2,-0.2,-0.7,,75.01,-100%,,,,,,,,,,6,,,,,,,,,,,2017-09-19,day,,,For Profit,,,,,"Health Care, Information Technology, Software"
Comtech,https://www.crunchbase.com/organization/comtech,Information Technology,"212,593",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Jeffrey Kang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"229,328",,-0.2,-0.5,0.4,"2,508","3,609.92",-23.76%,99,-9.48%,2.32,-19.33%,24.68%,-11.13%,"6,522,502","1,635,158",33.46%,6,,,,,,,,,,,1995-01-01,year,,,For Profit,,,,,Information Technology
SDMC,https://www.crunchbase.com/organization/sdmc,"Computer, Electronics, Information Technology, Manufacturing, Software","215,857",1,$10M to $50M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,"232,852",,-0.4,2.8,1.5,"22,720","41,534.87",23.5%,62,132.55%,1.65,19.89%,60.04%,7.36%,,,,4,,,,,,,,,,,2003-10-01,day,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Software"
"Quality Technology Industrial Co., Ltd",https://www.crunchbase.com/organization/quality-technology-industrial-co-ltd,"Electronics, Hardware, Information Technology, Manufacturing","225,139",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"242,928",,0.8,5.1,3.8,,237.98,-100%,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing"
Qingzhi,https://www.crunchbase.com/organization/qingzhi,"Automotive, Information Technology, Logistics, Manufacturing, Robotics","231,171",,,,,,,,,,,,,,,"Tianjin, Guangdong, China",,,,1,,,,Seed,2017-06-01,,,,Angel,,,,Angel,,,,"Harmony Fund, Legend Star, Northern Light Venture Capital",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"249,424",,0.9,0.1,1,651,365.04,109.16%,76,204.29%,4.41,159.14%,0%,-77.09%,"11,922,473","-9,093,862",-43.27%,2,,,,,,,,,,,2016-01-01,year,,,For Profit,,,,,"Hardware, Information Technology, Manufacturing, Science and Engineering, Software, Transportation"
Eastcompeace Technology Co Ltd,https://www.crunchbase.com/organization/eastcompeace-smart-card-co,Information Technology,"231,489",,,,,,,,,,,,,,,"Zhuhai, Guangdong, China",,11-50,,,,,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,2004-07-23,,,,,,,,,002017,https://www.crunchbase.com/ipo/eastcompeace-smart-card-co-ipo--f090f95b,SHE,1,"249,759",,0.2,0.4,0.5,"7,388","25,133.68",-41.42%,258,29.25%,9.51,17.39%,13.8%,1.1%,"1,919,088","525,784",37.74%,11,,,,,,,,,,,1998-01-01,year,2004-07-23,day,For Profit,,,,,Information Technology
Action Technologies,https://www.crunchbase.com/organization/action-technologies-co-limited,Information Technology,"240,293",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,"259,252",,0.6,1.8,-0.1,"3,116","3,417.04",-7.8%,82,408.17%,2.23,64.29%,31.93%,-15.46%,"6,078,944","-1,352,328",-18.2%,8,,,,,,,,,,,,,,,For Profit,,,,,Information Technology
Inveno,https://www.crunchbase.com/organization/inveno,"Content Delivery Network, E-Commerce, Information Technology, Mobile, Real Time","244,994",,$10M to $50M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,1-10,Tomsin Tung,2,,,,Early Stage Venture,2014-07-07,,,,Series A,,,,Series A,,,,"Decent Capital, Fortune Venture Capital, Fosun RZ Capital",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"264,324",,-0.3,-0.5,-1.2,989,731.34,-27.99%,58,373.81%,2.08,13.75%,64.21%,15.57%,"11,471,839","1,596,321",16.16%,6,4,,,,,,,,,,2010-06-06,day,,,For Profit,,,,,"Commerce and Shopping, Content and Publishing, Information Technology, Mobile"
HedgeBank,https://www.crunchbase.com/organization/hedgebank,"FinTech, Information Technology, Internet, Internet of Things","254,275",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,1,,,,,2018-11-14,,,,Corporate Round,,,,Corporate Round,,,,ZB Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"274,319",,-0.4,-0.6,-0.1,"1,939","7,210.34",-70%,584,-28.86%,7.45,-37.56%,39.46%,21.84%,"5,172,611","3,149,057",155.62%,10,,,,,,,,,,,,,,,,,,,,"Financial Services, Information Technology, Internet Services"
ANENDA,https://www.crunchbase.com/organization/anenda,"Computer, Information Technology, Manufacturing, Wearables","255,814",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"275,965",,-0.3,1.9,-0.2,212,124.8,,5,,2,,,,"23,450,807",,,10,,,,,,,,,,,,,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing"
Wbiao Technology,https://www.crunchbase.com/organization/wbiao-technology,"Information Technology, Internet","255,993",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,1,,,,Seed,2012-12-01,,,,Angel,,,,Angel,,,,Empower Investment,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"276,154",,-0.4,-0.2,-0.3,"1,592,127","1,292,528.15",5.34%,112,-10%,3.15,31.54%,40.77%,-4.36%,"45,672","-7,952",-14.83%,16,7,266,,,,,,,,,,,,,For Profit,,,,,"Information Technology, Internet Services"
Bitpower,https://www.crunchbase.com/organization/bitpower,"Consulting, Information Technology, Software","257,993",1,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",2,,"Liang Chen, Wei Huang",1,,,,,2017-01-12,,,,Non-equity Assistance,,,,,,,,Microsoft Accelerator Beijing,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"278,291",,-0.1,-0.2,-0.1,486,965.21,-74.7%,221,47.25%,4.13,41%,43.8%,0.83%,"13,867,639","6,508,690",88.45%,15,,,,,,,,,,,,,,,For Profit,,,,,"Information Technology, Software"
SemiTrip,https://www.crunchbase.com/organization/semitrip,"Information Services, Information Technology","258,785",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",1,11-50,Lijian Zhou,1,,,,Seed,2018-06-06,,,,Angel,,,,Angel,,,,"Cowin Capital, Horn Fund",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"279,143",,-0.1,-0.4,-0.1,233,178.96,75.19%,12,-96.68%,3,-45.24%,,,"20,840,293","-2,275,939",-9.85%,6,,,,,,,,,,,2016-01-01,year,,,For Profit,,,,,Information Technology
Powerleader Science & Technology Group Limited,https://www.crunchbase.com/organization/powerleader-science-technology-group-limited,"Cloud Computing, Information Technology, Professional Services","261,375",,$500M to $1B,,,,,,,,,,,,,"Shenzhen, Guangdong, China",2,,"Ruijie Li, Yunxia Zhang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"281,928",,-0.1,0,1.9,"21,744","26,190.22",5.71%,844,12.51%,14.18,12.84%,16.86%,10.79%,"789,992","-4,657",-0.59%,6,,,,,,,,,,,1997-01-01,year,,,For Profit,,,,,"Information Technology, Internet Services, Software"
Zhuhai XH Smartcard,https://www.crunchbase.com/organization/zhuhai-xh-smartcard,"Information Technology, Internet","269,429",,$10M to $50M,,,,,,,,,,,,,"Zhuhai, Guangdong, China",,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"290,530",,-0.2,-0.3,1.3,421,"12,734.49",9.19%,110,99.36%,3.39,-5.81%,80.52%,71.28%,"16,941,442","652,627",4.01%,12,,,,,,,,,,,2011-01-01,year,,,,,,,,"Information Technology, Internet Services"
Huynew Technology,https://www.crunchbase.com/organization/huynew-technology,Information Technology,"270,340",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,Seed,2019-04-01,,,,Seed,,,,Seed,,,,CAS Star,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"291,486",,-0.5,-1,6.9,,579.21,-100%,,,,,,,,,,6,,,,,,,,,,,2017-01-01,year,,,For Profit,,,,,Information Technology
Fox Renderfarm,https://www.crunchbase.com/organization/fox-renderfarm,"Advertising, CRM, Information Technology, Social Media","274,618",,Less than $1M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"296,039",,-0.3,-0.7,-0.4,"75,179","110,682.77",-42.59%,440,58.98%,5.26,49.39%,58.17%,-9.58%,"439,042","105,895",31.79%,13,,,,,,,,,,,2009-01-01,day,,,For Profit,,,,,"Advertising, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software"
Guanri,https://www.crunchbase.com/organization/guanri,"Information Technology, Software","276,316",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,2,5520000,USD,5520000,Early Stage Venture,2000-08-01,2380000,USD,2380000,Series B,2380000,USD,2380000,Series B,5520000,USD,5520000,IDG Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"297,851",,2.8,5.7,6.3,42,127.65,-71.58%,82,,2.49,148.52%,0%,-100%,"33,890,902","4,035,359",13.52%,13,,,,,,,,,,,1999-01-01,year,,,,,,,,"Information Technology, Software"
HelloWorld Robotics,https://www.crunchbase.com/organization/helloworld-robotics,"Artificial Intelligence, Hardware, Information Technology, Machine Learning, Robotics","290,332",,,,,,,,,,,,,,,"Dongguang, Guangdong, China",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"312,838",,0.2,0,-0.1,,41.43,,,,,,,,,,,16,,,,,,,,,,,2018-04-09,day,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software"
Zuolin,https://www.crunchbase.com/organization/zuolin,"Information Technology, Mobile, Real Estate","290,504",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,51-100,,1,,,,Early Stage Venture,2018-02-02,,,,Series A,,,,Series A,,,,China Resources,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"313,023",,-0.5,-0.5,-0.4,"34,416","35,181.71",42.58%,"1,143",7.09%,22.43,8.55%,11.53%,-1.21%,"518,237","-128,157",-19.83%,11,20,,,,,,,,,,,,,,For Profit,,,,,"Information Technology, Mobile, Real Estate"
Lizhiweike,https://www.crunchbase.com/organization/lizhiweike,Information Technology,"291,339",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,Early Stage Venture,2017-04-26,,,,Series A,,,,Series A,,,,"Gaorong Capital, GSR Ventures",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"313,913",,-0.4,0.1,-0.3,"420,693","387,901.52",111.1%,195,-38.23%,4.41,-34.7%,27.72%,10.12%,"124,082","-51,591",-29.37%,8,1,,,,,,,,,,2016-01-01,year,,,For Profit,,,,,Information Technology
YZ Robot,https://www.crunchbase.com/organization/yz-robot,"Artificial Intelligence, Information Technology, Robotics","294,465",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"317,223",,0.1,1.8,1.5,"1,001","10,435.16",-98.21%,4,-96.5%,1.22,-84.58%,77.07%,76.68%,"13,080,858","12,564,477","2,433.18%",1,5,10,,,,,,,,,2014-10-01,month,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software"
Wise2c Technology,https://www.crunchbase.com/organization/wise2c-technology-co,"Information Technology, Internet, Robotics, Software","295,933",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"318,803",,1.4,4.8,2.6,"10,393","6,417.81",-1.9%,734,14.19%,8.81,31.11%,20.85%,-6.66%,"1,683,715","-28,764",-1.68%,4,,,,,,,,,,,,,,,,,,,,"Hardware, Information Technology, Internet Services, Science and Engineering, Software"
HYB Battery,https://www.crunchbase.com/organization/hyb-battery,"Battery, Information Technology, Manufacturing","302,894",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,Early Stage Venture,2007-04-19,,,,Series A,,,,Series A,,,,GGV Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"326,251",,-0.5,-0.1,0,300,185.57,88.2%,30,-18.4%,3.95,49.46%,16.07%,-1.93%,"17,575,027","-7,322,708",-29.41%,5,,,,,,,,,,,1999-01-01,year,,,For Profit,,,,,"Energy, Information Technology, Manufacturing"
TOZI Technology,https://www.crunchbase.com/organization/tozi-technology,"Information Technology, Software","309,187",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"332,951",,0,1.9,-0.1,31,304.18,-85.32%,,,1,0%,100%,0%,"35,694,988","9,217,926",34.81%,1,,,,,,,,,,,,,,,For Profit,,,,,"Information Technology, Software"
Sennotech,https://www.crunchbase.com/organization/sennotech,"Health Care, Information Technology","318,108",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,Seed,2017-11-14,,,,Seed,,,,Seed,,,,"Cyzone Angel Fund, Midas Capital, Tianjin Venture Capital",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"342,459",,0.1,0.6,-0.5,792,"1,112.49",-59.87%,35,"2,551.27%",2.14,70.03%,3.97%,-33.17%,"13,929,605","3,431,870",32.69%,8,7,380,,,,,,,,,,,,,,,,,,"Health Care, Information Technology"
Shenzhen Liantronics,https://www.crunchbase.com/organization/shenzhen-liantronics,"Consumer Electronics, Electronics, Information Technology","328,119",,$1M to $10M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"353,078",,-0.3,3.2,0.9,"122,801","79,549.74",303.64%,62,-22.43%,3.03,-12.36%,33.63%,-14.9%,"410,404","-710,140",-63.37%,14,,,,0,0,,Scientific and electric apparatus and instruments,,,,2003-01-01,year,,,,,,,,"Consumer Electronics, Hardware, Information Technology"
Shenzhen Chainway Information Technology Co. Ltd.,https://www.crunchbase.com/organization/shenzhen-chainway-information-technology-co-ltd,Information Technology,"329,400",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"354,454",,-0.3,-0.5,-0.8,"107,434","33,763.44",350.86%,34,-73.83%,2.03,-0.97%,9.6%,-36.61%,"537,084","-885,402",-62.24%,23,,,,0,2,,Scientific and electric apparatus and instruments,,,,2005-01-01,year,,,For Profit,,,,,Information Technology
Vogtec,https://www.crunchbase.com/organization/vogtec,"Computer, Information Technology, Manufacturing, Software, Telecommunications","332,817",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"358,090",,-0.3,2.7,0,300,181.85,,12,,1.33,,66.77%,,"22,157,109",,,12,,,,,,,,,,,2013-01-01,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Software"
Semptian,https://www.crunchbase.com/organization/semptian,"Cyber Security, Hardware, Information Technology, Network Hardware, Network Security, Security","337,064",,$1M to $10M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"362,611",,-0.3,1,3.6,"13,341","14,583.69",3.73%,286,-14.71%,8.26,24.24%,19.33%,0.23%,"1,385,011","-135,034",-8.88%,4,,,,,,,,,,,2003-01-01,year,,,For Profit,,,,,"Hardware, Information Technology, Privacy and Security"
Hyun Mi Technology,https://www.crunchbase.com/organization/hyun-mi-technology,"Information Services, Information Technology, Software","343,318",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,1,,,,Early Stage Venture,2019-04-28,,,,Series A,,,,Series A,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"369,245",,-1.3,-1.6,5.9,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01,year,,,For Profit,,,,,"Information Technology, Software"
Finance Metadata Information Solution,https://www.crunchbase.com/organization/finance-metadata-information-solution,"Financial Services, Information Technology, Mobile, Software","345,811",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,"371,891",,-0.4,1.6,1,337,136.8,,2,,1.31,,69.03%,,"22,330,575",,,2,,,,,,,,,,,,,,,For Profit,,,,,"Financial Services, Information Technology, Mobile, Software"
ModuleTek,https://www.crunchbase.com/organization/moduletek,"Information Services, Information Technology","355,289",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,"381,941",,-0.4,-0.2,4.1,,,,,,,,,,,,,7,,,,0,1,,Scientific and electric apparatus and instruments,,,,1999-01-01,year,,,For Profit,,,,,Information Technology
"Shenzhen Qidian Technology Co.,LTD",https://www.crunchbase.com/organization/shenzhen-qidian-technology-co-ltd,"Information Technology, Manufacturing, Robotics","359,874",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"386,805",,0.5,-0.2,0.1,,,,,,,,,,,,,10,,,,,,,,,,,2014-07-08,day,,,For Profit,,,,,"Hardware, Information Technology, Manufacturing, Science and Engineering, Software"
National Supercomputer Center in Guangzhou (NSCCGZ),https://www.crunchbase.com/organization/national-supercomputer-center-in-guangzhou-nsccgz,"Analytics, Government, Information Technology, Software","367,585",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,"394,947",,-0.4,-0.1,3.3,273,403.17,-32.29%,279,,7.45,645.49%,50%,-50%,,,,16,,,,,,,,,,,,,,,For Profit,,,,,"Data and Analytics, Government and Military, Information Technology, Software"
Yusys Technologies,https://www.crunchbase.com/organization/yusys-technologies,Information Technology,"372,671",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,2018-11-07,,,288000000,CNY,41618497,,,,300674,https://www.crunchbase.com/ipo/yusys-technologies-ipo--e8ae3286,SZSE,,"400,365",,2.4,0.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-07,day,,,,,,Information Technology
iPIN,https://www.crunchbase.com/organization/ipin-com,"Artificial Intelligence, Consulting, Information Technology, Internet, Machine Learning","373,677",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,101-250,Yang Yang,1,,,,Early Stage Venture,2017-05-15,,,,Series B,,,,Series B,,,,SkyChee Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"401,430",,-0.5,-0.7,-0.7,"16,972","7,099.39",121.56%,643,848.14%,7.57,73.86%,19.13%,-5.87%,"1,254,113","-1,023,068",-44.93%,9,,,,,,,,,,,2013-01-01,year,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Sino Hotrunner,https://www.crunchbase.com/organization/sino-hotrunner,"Computer, Electronics, Information Technology, Manufacturing","374,082",,,,,,,,,,,,,,,"Dongguang, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"401,863",,-0.4,-0.2,-0.4,,52.77,,,,,,,,,,,7,,,,,,,,,,,2002-01-01,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing"
Techsun,https://www.crunchbase.com/organization/techsun,"Apps, Information Technology, Software","387,220",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,,2017-06-27,,,,Non-equity Assistance,,,,,,,,Microsoft Accelerator Beijing,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"415,792",,-0.5,-0.5,-0.8,,,,,,,,,,,,,5,,,,,,,,,,,,,,,For Profit,,,,,"Apps, Information Technology, Software"
Yusan Capital,https://www.crunchbase.com/organization/yusan-capital,"Crowdfunding, Information Technology, Venture Capital","389,683",,,1,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"418,411",,0.8,3.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,2014-05-01,month,,,,,,1,,"Financial Services, Information Technology, Lending and Investments"
Aspire Technologies Shenzhen,https://www.crunchbase.com/organization/aspire-technologies-shenzhen,Information Technology,"397,758",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"426,980",,0.3,-0.8,-0.3,"1,198","1,298.24",-44.02%,269,-25.43%,6.5,22.36%,0%,-13.81%,"7,480,055","2,262,475",43.36%,3,,,,,,,,,,,2000-06-01,month,,,For Profit,,,,,Information Technology
"Shenzhen Honestda Electronic Co., Ltd",https://www.crunchbase.com/organization/shenzhen-honestda-electronic-co-ltd,"3D Printing, CRM, Information Technology, Manufacturing, Software","402,106",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"431,576",,-0.2,1.7,-0.6,,31.49,,,,,,,,,,,2,,,,,,,,,,,2010-01-01,year,,,,,,,,"Information Technology, Manufacturing, Sales and Marketing, Software"
Meeteasy Technology Limited,https://www.crunchbase.com/organization/meeteasy-technology-limited,"Computer, Drones, Information Technology, Manufacturing","402,182",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"431,659",,-0.3,-0.2,-0.5,996,941.37,-11.45%,32,-66.17%,1.85,-30.5%,57.42%,1.93%,"11,771,740","1,823,478",18.33%,4,,,,,,,,,,,2002-05-06,day,,,For Profit,,,,,"Consumer Electronics, Consumer Goods, Hardware, Information Technology, Manufacturing"
YEESTOR,https://www.crunchbase.com/organization/yeestor,"Data Center, Data Storage, Information Technology","403,054",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,Early Stage Venture,2018-04-16,,,,Series A,,,,Series A,,,,"Glory Ventures, TCL Capital, THG Ventures, TRANSSION, Walden International",1,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"432,580",,0.9,1.9,1.4,"1,226","1,031.79",44.32%,208,-32.49%,4.1,24.7%,30.74%,-3.97%,"8,553,071","-2,611,691",-23.39%,6,,,,,,,,,,,2017-01-01,year,,,,,,,,"Hardware, Information Technology, Software"
