Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
Reap,https://www.crunchbase.com/organization/reap,"Credit, Finance, Financial Services, FinTech, Payments","17,152",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,1-10,"Daren Guo, Kevin Kang",1,1000000,USD,1000000,Seed,2018-09-29,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,1000000,USD,1000000,"Fresco Capital, Hustle Fund, K3 Ventures, Oyster Ventures",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"17,674",,-0.1,0,4,"4,631","2,376.26",-30.05%,13,-92.08%,3.31,-27.63%,38.23%,15.18%,"4,154,018","1,234,203",42.27%,9,,,,,,,,,,,2018-01-01,year,,,For Profit,,,,,"Financial Services, Lending and Investments, Payments"
Aidyia,https://www.crunchbase.com/organization/aidyia,"Artificial Intelligence, Finance, Financial Services","18,976",,$1M to $10M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",5,11-50,"Benjamin Goertzel, Cassio Pennachin, Douglas Glen, Ken Cooper, Nil Geisweiller",1,20000000,USD,20000000,,2015-08-20,20000000,USD,20000000,Undisclosed,20000000,USD,20000000,Undisclosed,20000000,USD,20000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"19,544",,-0.1,-0.4,-1.3,,,,,,,,,,,,,5,,,,,,,,,,,2011-01-01,year,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software"
InvestLab,https://www.crunchbase.com/organization/investlab,"Finance, Financial Services, FinTech, SaaS, Stock Exchanges","20,920",3,$1M to $10M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,11-50,Mark Munoz,1,10000000,USD,10000000,Early Stage Venture,2012-03-09,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,10000000,USD,10000000,"Citi Ventures, VantagePoint Capital Partners",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"21,550",,1.3,2.9,3.5,270,"1,068.1",-46.24%,23,-12.16%,1.62,48.21%,38.23%,-52.62%,"22,214,785","3,659,926",19.72%,8,,,15,,,,,,,,2010-01-01,year,,,For Profit,,,,,"Financial Services, Lending and Investments, Software"
FundPark,https://www.crunchbase.com/organization/fundpark,"Finance, Financial Services, FinTech","21,832",,,,,,,,,,,,,,,"Kwun Tong, Kowloon, Hong Kong",3,11-50,"Anson Suen, Carlos Tsang, Henry Mok",2,1750000,USD,1750000,Early Stage Venture,2018-01-08,,,,Series A,,,,Series A,1750000,USD,1750000,Indogen Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"22,487",,-0.2,0.1,-0.3,"1,208","7,280.2",-62.18%,65,6.75%,2.91,31.89%,15.12%,-26.39%,"10,101,858","3,876,836",62.28%,33,,,,,,,,,,,2015-01-01,year,,,For Profit,,,,,Financial Services
MoneyHero.com.hk,https://www.crunchbase.com/organization/moneyhero-com-hk,"E-Commerce, Finance, FinTech, Insurance","22,217",2,$1M to $10M,,,,,,,,,,,,,"Causeway Bay, Hong Kong Island, Hong Kong",1,11-50,Alister Musgrave,1,3000000,USD,3000000,Seed,2014-02-17,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"22,884",,-0.2,-0.2,0,"2,347,109","1,936,585.17",16.15%,87,3.25%,1.4,-1.07%,78.56%,0.51%,"41,836","10,136",31.97%,41,,,21,,,,,,,,2012-11-01,day,,,For Profit,,,,,"Commerce and Shopping, Financial Services"
Bitspark,https://www.crunchbase.com/organization/bitspark,"Bitcoin, Cryptocurrency, Finance, FinTech, Payments, Virtual Currency","31,868",23,,,,,,,,,,,,,,"North Point, Hong Kong Island, Hong Kong",2,11-50,"George Harrap, Maxine Ryan",3,41250,USD,41250,,2017-11-09,,,,Venture - Series Unknown,,,,Venture - Series Unknown,41250,USD,41250,"Cyberport Hong Kong, RGAx, SixThirty",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"32,827",,0,-0.1,-0.5,"6,013","22,673.78",-90.67%,246,"2,026.47%",3.65,221.47%,34.05%,3.52%,"3,170,652","2,184,683",221.58%,45,1,,18,,,,,,,,2014-04-01,day,,,For Profit,,,,,"Financial Services, Payments, Software"
Gatecoin,https://www.crunchbase.com/organization/gatecoin,"Bitcoin, Cryptocurrency, Finance, Financial Services, FinTech, Payments, Trading Platform","35,746",79,$1M to $10M,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",1,11-50,Aurelien Menant,2,800000,USD,800000,Seed,2016-07-06,300000,USD,300000,Angel,300000,USD,300000,Angel,800000,USD,800000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"36,838",,0.2,-0.2,-2.4,1,"4,400.17",-85.71%,,,1,-9.24%,35.22%,5.74%,"2,115,219","-408,231",-16.18%,22,,,25,,,,,,,,2013-07-01,month,,,For Profit,,,,,"Financial Services, Lending and Investments, Payments, Software"
CrowdWiz,https://www.crunchbase.com/organization/crowdwiz,"Finance, Financial Services, FinTech","39,084",1,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,11-50,"Michael Golod, Slavena Savcheva",1,5389945,USD,5389945,,2017-10-22,5389945,USD,5389945,Initial Coin Offering,5389945,USD,5389945,Initial Coin Offering,5389945,USD,5389945,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"40,283",,0.4,-0.1,-0.1,"25,479","8,659.68",892.94%,2,19.31%,1.3,11.09%,62.85%,-5.2%,"1,882,409","-6,964,204",-78.72%,16,,,,,,,,,,,2016-01-01,year,,,,,,,,Financial Services
uFinance,https://www.crunchbase.com/organization/ufinance-asia,"Finance, Financial Services, FinTech","41,312",,,,,,,,,,,,,,,"Kowloon City, Kowloon, Hong Kong",,11-50,,1,5000000,HKD,644700,Seed,2016-10-01,5000000,HKD,644700,Seed,5000000,HKD,644700,Seed,5000000,HKD,644700,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"42,594",,0,3.3,3,"106,924","91,005.12",-42.03%,34,40.17%,1.39,16.33%,78.05%,-2.66%,"633,466","209,889",49.55%,21,,,8,,,,,,,,2015-01-01,year,,,For Profit,,,,,Financial Services
Venture Smart,https://www.crunchbase.com/organization/venture-smart,"Finance, Financial Services","42,135",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,,,1,5000000,USD,5000000,Seed,2015-06-30,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,5000000,USD,5000000,BlackPine,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"43,440",,-0.2,-0.2,1.8,288,"16,972.96",-94.14%,72,"10,534.16%",2.52,78.11%,49.6%,46.59%,"19,749,178","13,986,910",242.73%,23,,,,,,,,,,,,,,,,,,,,Financial Services
