Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
AMTD Group,https://www.crunchbase.com/organization/amtd-group,"Asset Management, Finance, Financial Services, Insurance, Venture Capital","72,019",17,,10,3,1,1,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3,"74,952",,-0.2,3.2,3.2,"2,493","12,861.05",-26.03%,65,-62.3%,1.54,-62.32%,47.77%,25.73%,"7,861,186","3,197,269",68.55%,11,,,,,,,,,,,2003-01-01,year,,,For Profit,,,10,,"Financial Services, Lending and Investments"
Blockpass,https://www.crunchbase.com/organization/blockpass,"Finance, Internet","73,054",4,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,11,"76,093",,0,2.3,3.1,"8,190","7,745.42",52.87%,142,11.68%,2.32,-20.06%,53.26%,7.65%,"2,833,947","-666,717",-19.05%,5,,,,,,,,,,,2017-01-01,year,,,For Profit,,,,,"Financial Services, Internet Services"
Tether,https://www.crunchbase.com/organization/tether-50cc,"Bitcoin, Cryptocurrency, Finance, Financial Services","73,658",7,$1M to $10M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,11-50,"Giancarlo Devasini, Philip Potter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"76,735",,-0.3,-0.2,3,"163,851","153,427.41",10.37%,222,26.07%,4.81,10.72%,17.58%,-3.37%,"226,614","-17,935",-7.33%,11,2,,5,,,,,,,,2014-01-01,year,,,For Profit,,,,,"Financial Services, Payments, Software"
FinLink,https://www.crunchbase.com/organization/finlink,"Finance, Financial Services, Transaction Processing","85,143",,,,,,,,,,,,,,,"Kowloon City, Kowloon, Hong Kong",,1-10,,1,12500,USD,12500,Seed,2016-03-04,12500,USD,12500,Seed,12500,USD,12500,Seed,12500,USD,12500,Cyberport Hong Kong,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"89,237",,0.2,-0.1,2.9,123,47.74,,,,1,,100%,,"31,458,168",,,15,,,,,,,,,,,2016-01-01,year,,,For Profit,,,,,"Financial Services, Payments, Software"
Ally Bridge Group,https://www.crunchbase.com/organization/ally-bridge-group,"Finance, Financial Services, Venture Capital","85,522",3,,26,12,7,7,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,,Frank Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"89,642",,-0.4,-0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,2013-07-01,day,,,,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market",22,,"Financial Services, Lending and Investments"
FinFabrik,https://www.crunchbase.com/organization/finfabrik,"Blockchain, Finance, FinTech, Information Technology, Venture Capital","85,923",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,11-50,"Alex Medana, Florian Matthaeus Spiegl",2,,,,Seed,2019-02-12,,,,Seed,,,,Seed,,,,"Alex Medana, BitMEX Ventures, Florian Matthaeus Spiegl",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,"90,080",,-0.1,-0.1,-0.6,490,"1,501.28",-74.19%,7,-95.07%,1.54,-30.29%,69.61%,6.92%,"17,816,271","10,039,788",129.1%,17,,,,,,,,,,,2016-08-01,month,,,For Profit,,,,,"Financial Services, Information Technology, Lending and Investments"
Aqumon,https://www.crunchbase.com/organization/aqumon,"Finance, Financial Services","86,125",,,,,,,,,,,,,,,"Quarry Bay, Hong Kong Island, Hong Kong",2,101-250,"Don Huang, Kelvin Lei",1,,,,Early Stage Venture,2017-06-22,,,,Series A,,,,Series A,,,,Alibaba Entrepreneurs Fund,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"90,302",,0,0.1,1.8,"162,605","82,942.97",322.02%,204,-75.31%,5.55,-75.59%,65.43%,17.11%,"258,401","-158,833",-38.07%,28,,,,,,,,,,,2015-01-01,year,,,For Profit,,,,,Financial Services
Z-good,https://www.crunchbase.com/organization/z-good,"Finance, FinTech","88,580",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,,,1,5000000,USD,5000000,,2013-03-01,5000000,USD,5000000,Venture - Series Unknown,5000000,USD,5000000,Venture - Series Unknown,5000000,USD,5000000,Shunwei Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"93,017",,0.7,0.8,-0.2,,,,,,,,,,,,,,,,,,,,,,,,2012-08-17,day,,,,,,,,Financial Services
Credit Hero,https://www.crunchbase.com/organization/credit-hero,"Consumer Lending, Finance, Financial Services, FinTech, Lending, Personal Finance","91,801",,,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",1,1-10,Ronald Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"96,584",,0.1,0,-0.1,"3,145","1,689.97",22.29%,14,-91.35%,2.63,-56.24%,44.06%,16.24%,"6,993,169","1,181,178",20.32%,4,,,,,,,,,,,2018-01-26,day,,,For Profit,,,,,"Financial Services, Lending and Investments"
HitBTC,https://www.crunchbase.com/organization/hitbtc,"Banking, Bitcoin, Blockchain, Cryptocurrency, Finance","91,948",55,$1M to $10M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"96,742",,0,-0.1,-0.3,"4,276,781","3,859,853.14",4.8%,442,-0.72%,4.99,10.96%,42.86%,-1.64%,"14,518","-1,225",-7.78%,42,,,9,,,,,,,,2013-01-01,year,,,For Profit,,,,,"Financial Services, Lending and Investments, Payments, Software"
Atom International Technology,https://www.crunchbase.com/organization/atom-international-technology,"Blockchain, Finance, Information Technology, Internet, Personal Finance, Virtual Currency","93,513",52,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"98,463",,0.8,1.2,2.7,405,"19,460.88",-68.95%,69,37.24%,3.7,108.63%,41.1%,1.23%,"15,826,568","3,979,758",33.59%,29,,,11,,,,,,,,2018-03-01,month,,,For Profit,,,,,"Financial Services, Information Technology, Internet Services, Payments, Software"
Accrue,https://www.crunchbase.com/organization/accrue,"Analytics, Artificial Intelligence, Cloud Data Services, Enterprise Software, Finance, FinTech, Machine Learning, Risk Management, Software, Trading Platform","98,669",4,$1M to $10M,,,,,,,,,,,,,"Cyberport, Hong Kong Island, Hong Kong",2,11-50,"Benoit Brookens III, James Felton Keith",1,,,,,2017-07-20,,,,Non-equity Assistance,,,,,,,,"Cyberport Hong Kong, IBM, Nvidia Inception",,3,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,"104,141",,0.1,-0.2,-0.6,711,791.77,-61.09%,366,129.91%,13.82,46.09%,16.62%,-3.46%,"8,157,838","3,015,571",58.64%,23,,,10,,,,,,,,2014-01-01,year,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Internet Services, Lending and Investments, Science and Engineering, Software"
LiqEase,https://www.crunchbase.com/organization/liqease,"Blockchain, Finance, FinTech","100,273",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,1-10,"Florian Zeim, Tobias Pfuetze",1,,,,Seed,2017-09-30,,,,Seed,,,,Seed,,,,"Chinaccelerator, Emurgo, JadeValue, SOSV",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"105,924",,0.3,0.3,0.2,757,520.76,440.28%,15,,2.13,112.8%,13.45%,-86.55%,"14,369,085","-16,151,558",-52.92%,15,,,,,,,,,,,2017-08-01,day,,,,,,,,Financial Services
Planto,https://www.crunchbase.com/organization/planto,"Apps, Finance, Financial Services","100,325",,,,,,,,,,,,,,,"Wan Chai, Hong Kong Island, Hong Kong",,,,1,,,,Seed,2018-03-05,,,,Seed,,,,Seed,,,,Zeroth.AI,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"105,985",,-0.1,0,1.2,"60,036","23,857.74",182.2%,96,-2.83%,1.79,3.57%,55.24%,-7.06%,"848,696","-820,464",-49.15%,28,,,,,,,,,,,2017-01-01,year,,,For Profit,,,,,"Apps, Financial Services, Software"
Coherent,https://www.crunchbase.com/organization/coherent-capital-advisors,"Finance, Financial Services, FinTech","102,011",,$1M to $10M,,,,,,,,,,,,,"Kwun Tong, Kowloon, Hong Kong",2,11-50,"Fred Ngan, Michael Chan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"107,873",,0,-0.1,-0.1,755,"1,360.3",-27.11%,177,58.86%,2.86,91.36%,30.48%,-23.79%,"12,452,709","-359,251",-2.8%,17,,,16,,,,,,,,2014-01-01,year,,,For Profit,,,,,Financial Services
"Financial Data Technologies, Ltd. (FDT)",https://www.crunchbase.com/organization/hong-kong-financial-data-technology-fdt,"Finance, Incubators","105,621",1,$10M to $50M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,51-100,"Fanqi Nie, Mark Lin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"111,852",,-0.1,-0.1,3,,79.52,-100%,,,,,,,,,,26,,,,,,,,,,,2013-01-01,year,,,For Profit,,,,,"Financial Services, Lending and Investments"
Dinero Limited,https://www.crunchbase.com/organization/dinero-limited,"Finance, Mobile, Software","107,509",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,1-10,"Ian Grigg, Ken Griffith",1,75000,USD,75000,Seed,2012-12-01,75000,USD,75000,Seed,75000,USD,75000,Seed,75000,USD,75000,Ian Grigg,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"113,954",,-0.1,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,2012-01-01,year,,,For Profit,,,,,"Financial Services, Mobile, Software"
Value Partners,https://www.crunchbase.com/organization/value-partners,"Finance, Financial Services","110,290",8,,1,1,1,1,,,,,,,,,"Central, Hong Kong Island, Hong Kong",,,,,,,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,2007-11-30,,,,,,,,,0806,https://www.crunchbase.com/ipo/value-partners-ipo--b366ff7a,HKG,,"117,053",,-0.2,-0.5,1,"12,852","27,500.02",-21.57%,159,33.27%,4.52,55.96%,37.44%,-6.19%,"1,699,054","6,699",0.4%,32,2,,,,,,,,,,1993-01-01,year,2007-11-30,day,,,,1,,Financial Services
Li Family Office,https://www.crunchbase.com/organization/li-family-office,"Finance, Financial Services, Hedge Funds, Real Estate Investment","111,681",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,1-10,Simon Littlewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"118,607",,0,0,0,,149.69,-100%,,,,,,,,,,21,,,,,,,,,,,2013-01-01,year,,,For Profit,,,,,"Financial Services, Lending and Investments, Real Estate"
Bigcolors,https://www.crunchbase.com/organization/bigcolros,"Business Development, Finance, Venture Capital","112,655",11,,13,4,4,4,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,1-10,"Ben Chan, James Giancotti",,,,,,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,"119,686",,-0.1,-0.2,-0.2,300,209.04,29.51%,,,1,-79.82%,100%,79.12%,"23,413,512","4,723,898",25.28%,19,,,8,,,,,,,,2014-01-09,day,,,For Profit,,,12,,"Financial Services, Lending and Investments"
Unikeys,https://www.crunchbase.com/organization/unikeys-hk-ltd,"Blockchain, Cryptocurrency, Finance, FinTech","115,717",10,,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",1,1-10,Alexandre Tabbakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"123,059",,-0.2,-0.4,0,"92,410","15,976.73","4,641.16%",49,540.14%,1.48,14.79%,80.72%,47.64%,"740,002","-9,612,642",-92.85%,36,,,,,,,,,,,2018-01-01,month,,,For Profit,,,,,"Financial Services, Payments, Software"
Alter Securities,https://www.crunchbase.com/organization/alter-securities,"Finance, Financial Exchanges, Financial Services, FinTech, Insurance, InsurTech, Risk Management, Stock Exchanges, Trading Platform","118,679",1,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,11-50,Nikolay Zvezdin,1,,,,Seed,2019-02-26,,,,Pre-Seed,,,,Pre-Seed,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"126,339",,0.9,8.8,8.7,,,,,,,,,,,,,10,,,,,,,,,,,2019-02-26,day,,,For Profit,,,,,"Financial Services, Lending and Investments"
Velotrade,https://www.crunchbase.com/organization/velotrade,"Finance, Financial Services, FinTech","119,498",,,,,,,,,,,,,,,"Cyberport, Hong Kong Island, Hong Kong",3,11-50,"Emmanuel Pitsilis, Gianluca Pizzituti, Vittorio De Angelis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"127,247",,-0.1,1.2,8.7,"1,340","3,631.67",-12.79%,52,670.27%,2.13,-8.58%,24.03%,-17.44%,"10,351,174","343,765",3.44%,17,,,,,,,,,,,2015-01-01,year,,,For Profit,,,,,Financial Services
Far East Horizon,https://www.crunchbase.com/organization/far-east-horizon,"Finance, Financial Services","120,589",1,,3,,,,,,,,,,,,"Wan Chai, Hong Kong Island, Hong Kong",,501-1000,,,,,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,2011-04-08,,,,,,,,,3360,https://www.crunchbase.com/ipo/far-east-horizon-ipo--441acc5a,HKG,,"128,464",,-0.3,6.1,6.3,"5,182","3,383.97",227.33%,219,133.46%,6.1,-10.16%,12.79%,-0.82%,"2,882,594","-3,166,090",-52.34%,10,,,,,,,,,,,2008-01-01,year,2011-04-08,day,For Profit,,,3,,Financial Services
CapitaLink Technology Limited,https://www.crunchbase.com/organization/capitalink-technology-limited,"Banking, Finance, Financial Services, FinTech, Information Technology","124,684",2,,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",,1-10,,4,,,,Seed,2018-10-03,,,,Seed,,,,Seed,,,,SQ Capital Group,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"132,998",,0.1,1.2,2.6,"1,522",773.32,46.97%,163,"3,248.23%",1.95,75.43%,4.71%,-47.63%,"10,435,597","-3,586,846",-25.58%,28,2,100,,,,,,,,,2017-06-01,month,,,For Profit,,,,,"Financial Services, Information Technology, Lending and Investments"
Inter-Asia Venture Management,https://www.crunchbase.com/organization/inter-asia-venture-management,"CleanTech, Finance, Venture Capital","127,247",1,,1,,,,,,,,,,,,"Central, Hong Kong Island, Hong Kong",2,,"Cyril Fung, Lewis Rutherfurd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"135,843",,1.2,1,0,,,,,,,,,,,,,6,,,4,,,,,,,,1972-01-01,year,,,,Private Equity Firm,"Late Stage Venture, Private Equity",1,,"Financial Services, Lending and Investments, Sustainability"
FINNOVASIA,https://www.crunchbase.com/organization/finnovasia,"Finance, Financial Services, FinTech","129,420",1,Less than $1M,,,,,,,,,,,,,"Central, Hong Kong Island, Hong Kong",1,11-50,Anthony SAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"138,260",,0.5,1.2,0.5,"3,697","19,106.8",-63.36%,9,258.9%,1.18,5.81%,49.97%,-2.81%,"6,922,270","3,485,751",101.43%,24,,,16,,,,,,,,2015-01-01,year,,,For Profit,,,,,Financial Services
Holdex,https://www.crunchbase.com/organization/holdex,"Bitcoin, Blockchain, Crowdfunding, Cryptocurrency, Ethereum, Finance, FinTech, Funding Platform, Payments, SaaS, Software","129,563",1,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",3,1-10,"Giorgia Pellizzari, Mark Curchin, Vadim Zolotokrylin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"138,415",,0.1,1.7,3.9,777,"1,585.46",-26.81%,11,-82.55%,1.5,10.68%,84.27%,50.25%,"14,107,957","381,555",2.78%,23,,,,,,,,,,,2017-11-29,day,,,For Profit,,,,,"Financial Services, Lending and Investments, Payments, Software"
Amareos,https://www.crunchbase.com/organization/amareos,"Analytics, Finance, Financial Services","135,236",,,,,,,,,,,,,,,"Causeway Bay, Hong Kong Island, Hong Kong",2,1-10,"Jerome Favresse, Philippe El-Asmar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"144,739",,0.3,-0.1,1.5,340,287.63,40.17%,,,1,-59.23%,100%,100%,"22,287,007","935,246",4.38%,11,,,14,,,,,,,,2015-01-01,year,,,For Profit,,,,,"Data and Analytics, Financial Services"
Waterwood Group,https://www.crunchbase.com/organization/waterwood-group,"Finance, Financial Services","135,279",,,3,2,,,,,,,,,,,"Wan Chai, Hong Kong Island, Hong Kong",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"144,784",,-0.1,-0.1,2.1,224,203.77,,24,,3.77,,,,"20,177,846",,,6,,,,,,,,,,,2014-01-01,year,,,,,,3,,Financial Services
SuperCharger,https://www.crunchbase.com/organization/supercharger-fintech-accelerator,"Finance, Financial Services, FinTech, Venture Capital","136,568",5,,,,,,On-Site,12,,,,,,,"Wan Chai, Hong Kong Island, Hong Kong",2,11-50,"Janos Barberis, Renu Bhatia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"146,214",,-0.2,-0.3,1.2,573,810.37,-45.56%,111,-50.18%,2.71,24.78%,20.53%,-11.1%,"15,086,984","3,432,972",29.46%,29,,,10,,,,,,,,2015-01-01,year,,,For Profit,Accelerator,Seed,,2018-01-05,"Financial Services, Lending and Investments"
Trade Capital Group Limited,https://www.crunchbase.com/organization/trade-capital-group-limited,"Asset Management, Finance, Financial Services, Trading Platform","137,939",,,,,,,,,,,,,,,"Central, Hong Kong Island, Hong Kong",,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"147,718",,-0.3,-0.3,-0.3,913,185.57,,5,,1.68,,32.14%,,"15,346,163",,,31,,,,,,,,,,,2014-09-29,day,,,For Profit,,,,,"Financial Services, Lending and Investments"
Coinbama,https://www.crunchbase.com/organization/coinbama,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Finance, Financial Exchanges, Financial Services, FinTech, Payments, Trading Platform","142,306",1,,,,,,,,,,,,,,"Yau Tsim Mong, Kowloon, Hong Kong",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"152,530",,0.4,0,-0.3,49,43.68,,,,1,,100%,,"34,667,319",,,9,,,,,,,,,,,2018-11-28,day,,,For Profit,,,,,"Financial Services, Lending and Investments, Payments, Software"
Tofupay,https://www.crunchbase.com/organization/tofupay,"Finance, Information Technology, Internet","143,719",,$1M to $10M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,1-10,Gerald Hinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"154,110",,0,0.4,3,254,124.14,,,,1,,100%,,"25,033,739",,,2,,,10,,,,,,,,2014-01-01,year,,,For Profit,,,,,"Financial Services, Information Technology, Internet Services"
CoinFi,https://www.crunchbase.com/organization/coinfi,"Finance, Financial Services, FinTech","146,391",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",3,11-50,"Han Chang, Nate Tsang, Timothy Tam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"157,051",,-0.1,0,0.6,"49,927","49,305.58",-1.45%,162,187.86%,2.11,12.6%,50.23%,-5.76%,"831,162","-2,919",-0.35%,57,,,,,,,,,,,2017-01-01,year,,,For Profit,,,,,Financial Services
CITIC Limited,https://www.crunchbase.com/organization/citic-limited,"Finance, Financial Services, Manufacturing","148,456",9,,2,2,,,,,,,,,,,"Central, Hong Kong Island, Hong Kong",,10001+,,,,,,IPO,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Public,1999-02-05,,,,,,,,,0267,https://www.crunchbase.com/ipo/citic-limited-ipo--0ab985d1,HKG,,"159,327",,1.3,0.8,2.8,"163,589","158,617.26",-6.73%,143,-44.4%,3.64,-17.12%,27.52%,-7.22%,"291,338","29,662",11.34%,33,,,5,,,,,,,,2011-01-01,year,1999-02-05,day,For Profit,,,2,,"Financial Services, Manufacturing"
TideBit,https://www.crunchbase.com/organization/tidebit,"Bitcoin, Blockchain, Finance, Financial Services, FinTech","150,325",1,,,,,,,,,,,,,,"Chai Wan, Hong Kong Island, Hong Kong",,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"161,392",,0.2,3.4,6.6,"40,712","26,525.45",9.28%,260,75.9%,3.93,1.59%,48.83%,20.25%,"846,685","-59,481",-6.56%,41,,,,,,,,,,,2017-01-01,year,,,For Profit,,,,,"Financial Services, Payments, Software"
Yunfeng Financial Group,https://www.crunchbase.com/organization/yunfeng-financial-group,"Asset Management, Finance, Financial Services, FinTech, Insurance, Stock Exchanges","151,705",,,2,2,1,1,,,,,,,,,"Central, Hong Kong Island, Hong Kong",,,,,,,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,2011-08-12,,,,,,,,,0376,https://www.crunchbase.com/ipo/yunfeng-financial-group-ipo--e558a8e0,HKG,,"162,929",,0.9,2.1,6.2,"1,927","4,094.04",-64.58%,192,71.19%,3.03,12.37%,37.82%,-14%,"7,093,913","3,494,079",97.06%,,,,,,,,,,,,1985-01-01,year,2011-08-12,day,,,,2,,"Financial Services, Lending and Investments"
Investable,https://www.crunchbase.com/organization/investable,"Crowdfunding, Finance, FinTech, Venture Capital","172,275",8,$1M to $10M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"185,482",,-0.1,1.1,0.4,,15.25,,,,,,,,,,,10,1,,2,,,,,,,,2013-12-01,day,,,,,,,,"Financial Services, Lending and Investments"
FastLanePro,https://www.crunchbase.com/organization/fastlanepro-hong-kong,"Accounting, Finance, FinTech","191,513",,Less than $1M,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",1,11-50,Alex So,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"206,449",,0.2,5.4,6.9,540,630.87,104.74%,148,,1.74,73.88%,36.31%,-32.57%,"17,038,973","-8,336,131",-32.85%,15,,,6,,,,,,,,2013-01-01,year,,,For Profit,,,,,"Financial Services, Professional Services"
Zurich Private Capital,https://www.crunchbase.com/organization/zurich-private-capital,"Association, Banking, Crowdfunding, Finance","205,077",12,$1M to $10M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"221,197",,-0.2,-0.3,1.2,,,,,,,,,,,,,15,,,9,,,,,,,,1988-03-10,day,,,,,,,,"Financial Services, Lending and Investments"
Artificial Life,https://www.crunchbase.com/organization/artificial-life,"Finance, FinTech, Mobile, Software, Telecommunications","214,263",51,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,51-100,,,,,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,1998-12-17,,,13600000,USD,13600000,,,,ALIF,https://www.crunchbase.com/ipo/artificial-life-ipo--15db1552,OTC Pink,,"231,130",,-0.2,-0.6,-0.7,,,,,,,,,,,,,3,16,,,,,,,,,,1994-01-01,year,1998-12-17,day,,,,,,"Financial Services, Hardware, Mobile, Software"
Now Health International,https://www.crunchbase.com/organization/now-health-international,"Finance, Health Care, Insurance, Travel","217,691",1,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"234,852",,0.3,-0.2,-0.5,"41,558","35,360.17",41.83%,164,-31.59%,3.46,-13.44%,31.52%,-2.82%,"859,750","-140,463",-14.04%,31,1,191,21,,,,,,,,2010-01-01,year,,,,,,,,"Financial Services, Health Care, Travel and Tourism"
