Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
JMGO,https://www.crunchbase.com/organization/jmgo,"Digital Entertainment, Electronics, Hardware, Manufacturing, Project Management","15,768",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",2,Nov-50,"Chen Xingbo, Zhenyu Hu",4,220141175,USD,220141175,Late Stage Venture,22/10/18,86530000,USD,86530000,Series D,86530000,USD,86530000,Series D,220141175,USD,220141175,"36Kr, Alibaba Group, Fortune Venture Capital, Green Pine Capital Partners, IDG Capital",1,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"16,256",,-0.1,0.7,0.2,"135,308","141,605.52",-17.63%,94,37.09%,4.14,28.73%,15.81%,-12.54%,"311,729","18,321",6.24%,28,1,"24,028",,,,,,,,,1/1/11,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Manufacturing, Media and Entertainment"
UMIDIGI,https://www.crunchbase.com/organization/umidigi,"Consumer Electronics, E-Commerce, Electronics, iOS, Manufacturing, Mobile, Mobile Devices, Telecommunications, Wireless","24,456",18,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,51-100,Heaven Z.,1,,,,,20/1/19,207000,USD,207000,Product Crowdfunding,,,,,207000,USD,207000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"25,192",,0.6,4.4,3.6,"2,033,225","1,968,062.88",7.73%,140,4.40%,2.11,2.21%,68.80%,0.58%,"45,079","-2,212",-4.68%,26,,,11,,,,,,,,10/2/12,day,,,For Profit,,,,,"Commerce and Shopping, Consumer Electronics, Hardware, Manufacturing, Mobile, Platforms, Software"
Yeehoo Group,https://www.crunchbase.com/organization/yeehoo-group,"Baby, Manufacturing, Product Design","24,883",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",1,,Alice Guo,1,100000000,USD,100000000,Private Equity,11/1/12,100000000,USD,100000000,Private Equity,100000000,USD,100000000,Private Equity,100000000,USD,100000000,Lunar Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"25,633",,0.2,0.6,2.6,255,400.16,-50.30%,976,980.60%,1.57,-15.84%,43.43%,-13.54%,"22,840,378","6,494,939",39.74%,5,,,,,,,,,,,1/1/95,year,,,,,,,,"Design, Manufacturing"
BLOVES,https://www.crunchbase.com/organization/bloves,"Jewelry, Manufacturing","26,032",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Lin Cao,3,49667426,USD,49667426,Late Stage Venture,1/1/14,30000000,USD,30000000,Series C,30000000,USD,30000000,Series C,49667426,USD,49667426,"FirsTrust China, Tiantu Capital, Yonghua Capital",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"26,812",,0.6,-0.2,2.7,90,446.92,-87.81%,,,1,-22.69%,100%,79.19%,"32,895,998","16,237,196",97.47%,6,,,3,,,,,,,,1/1/08,year,,,For Profit,,,,,"Consumer Goods, Manufacturing"
Yunzhou Intelligence Technology,https://www.crunchbase.com/organization/yunzhou-intelligence-technology,"Manufacturing, Robotics","27,389",,,,,,,,,,,,,,,"Zhuhai, Guangdong, China",1,,Zhang Yunfei,4,568000000,CNY,84218431,Late Stage Venture,31/12/18,400000000,CNY,58151680,Series C,400000000,CNY,58151680,Series C,568000000,CNY,84218431,"Guangdong Technology Financial Group, Qianhai Wutong Mergers and Acquisitions Funds, Vestar Capital Partners, Zhencheng Capital, ZhenFund",4,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"28,212",,-0.5,-0.5,-0.2,"7,826","6,609.40",52.82%,256,31.27%,5.75,7.11%,16.96%,-6.10%,"2,080,978","-870,910",-29.50%,1,,,,,,,,,,,,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software"
YinLong Group,https://www.crunchbase.com/organization/yinlong-group,"Automotive, Battery, Manufacturing, Public Transportation","29,591",,,,,,,,,,,,,,,"Zhuhai, Guangdong, China",,,,1,432000000,USD,432000000,,17/12/16,432000000,USD,432000000,Undisclosed,432000000,USD,432000000,Undisclosed,432000000,USD,432000000,"JD.com, WANDA Group",,2,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,"30,480",,-0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,1/1/08,year,,,For Profit,,,,,"Energy, Manufacturing, Transportation"
Smarter Microelectronics,https://www.crunchbase.com/organization/smarter-microelectronics,"Electronics, Information Technology, Innovation Management, Manufacturing, Semiconductor","31,249",,$1M to $10M,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,4,37100000,USD,37100000,Late Stage Venture,30/1/19,,,,Series D,,,,Series D,37100000,USD,37100000,"China Renaissance, GF Xinde Investment Management, GSR Ventures, Vertex Ventures, Vertex Ventures China",4,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"32,187",,-0.3,-0.3,-0.7,"1,055",729.85,378.18%,111,,1.6,60.27%,59.83%,-40.17%,"11,858,789","-14,485,773",-54.99%,1,,,7,,,,,,,,1/11/11,month,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering"
XAircraft,https://www.crunchbase.com/organization/xaircraft,"Aerospace, Innovation Management, Manufacturing","31,861",1,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",1,,Justin Gong,1,20000000,USD,20000000,Early Stage Venture,1/9/14,20000000,USD,20000000,Series A,20000000,USD,20000000,Series A,20000000,USD,20000000,Chengwei Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"32,820",,0,0,0.9,"9,839","11,752.45",26.35%,324,-17%,8.74,5.51%,9.97%,-18.64%,"1,629,179","-270,401",-14.23%,14,,,5,,,,,,,,1/1/07,year,,,,,,,,"Manufacturing, Science and Engineering"
YoPoint,https://www.crunchbase.com/organization/yopoint,"Manufacturing, SaaS","32,004",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,101-250,Kane Yau,2,7412203,USD,7412203,Early Stage Venture,9/11/18,30000000,CNY,4312203,Series A,30000000,CNY,4312203,Series A,7412203,USD,7412203,"Cheetah Mobile, Glory Harvest Group",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"32,967",,-0.6,-0.7,-0.4,"12,299","10,825.89",-5.14%,498,22.68%,7.18,-6.31%,20.92%,2.10%,"1,637,504","191,018",13.21%,12,,,,,,,,,,,1/1/17,year,,,For Profit,,,,,"Manufacturing, Software"
Shuwei,https://www.crunchbase.com/organization/shuwei,"Information Technology, Internet, Manufacturing, Service Industry","34,866",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,4,36502583,USD,36502583,Early Stage Venture,9/11/18,28792721,USD,28792721,Series B,28792721,USD,28792721,Series B,36502583,USD,36502583,"Ant Financial, Fosun RZ Capital, Jiguang, Oriental Fortune Capital, SAIF Partners",5,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"35,931",,-0.2,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Internet Services, Manufacturing"
