Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
"Shenzhen Superline Technology Co., Ltd.",https://www.crunchbase.com/organization/shenzhen-superline-technology-co,"Health Care, Manufacturing","41,106",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,12600000,USD,12600000,,3/7/17,12600000,USD,12600000,Undisclosed,12600000,USD,12600000,Undisclosed,12600000,USD,12600000,Q & M Dental Group,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"42,382",,-0.3,-0.6,-0.4,339,341.08,,109,,7.5,,,,"16,033,975",,,7,,,,1,0,Medical Or Veterinary Science; Hygiene,,,,,1/1/02,year,,,For Profit,,,,,"Health Care, Manufacturing"
inMotion/SoloWheel,https://www.crunchbase.com/organization/inmotion-technologies,"Consumer, Consumer Goods, Electronics, Manufacturing, Sensor, Sports","41,515",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,101-250,,2,21067976,USD,21067976,Early Stage Venture,9/12/14,17000000,USD,17000000,Series B,17000000,USD,17000000,Series B,21067976,USD,21067976,"N5Capital, Tiantu Capital",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"42,799",,-0.2,-0.3,-0.1,"35,495","33,881.74",60.48%,"1,135",27.38%,9.61,9.28%,19.11%,-2.83%,"684,009","-364,722",-34.78%,8,,,,,,,,,,,1/1/12,year,,,For Profit,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Sports"
Chasing Innovation,https://www.crunchbase.com/organization/chasing-innovation,"Consumer Electronics, Drones, Electronics, Manufacturing","41,970",4,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,Nov-50,,1,3000000,USD,3000000,Seed,19/6/18,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,Shenzhen Capital Group,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"43,267",,-0.1,-0.2,0,"6,814","28,320.09",-79.52%,191,126.99%,3.4,48.45%,19.14%,-18.99%,"3,072,229","1,928,081",168.52%,4,,,,,,,,,,,1/1/16,year,,,For Profit,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing"
DAQO NEW ENERGY CORP,https://www.crunchbase.com/organization/daqo-new-energy-corp,"Manufacturing, Renewable Energy, Solar","42,468",3,,,,,,,,,,,,,,"Wanzhou, Guangdong, China",1,1001-5000,Gongda Yao,3,,,,IPO,22/5/18,,,,Post-IPO Equity,,,,Post-IPO Equity,76050000,USD,76050000,"Chongqing Rural Commercial Bank, GGV Capital, Morgan Stanley",1,3,,,,,,,,,,,,,,Public,7/10/10,,,76000000,USD,76000000,1612283979,USD,1612283979,DQ,https://www.crunchbase.com/ipo/daqo-new-energy-corp-ipo--64a3aa84,NYSE,,"43,786",,-0.2,-0.3,-0.5,"1,900","1,081.36",798.54%,102,,5.5,450.03%,20.14%,-79.86%,"6,537,145","-20,239,377",-75.59%,1,,,,,,,,,,,1/1/07,year,7/10/10,day,,,,,,"Energy, Manufacturing, Natural Resources, Sustainability"
MoSo,https://www.crunchbase.com/organization/moso,"Electronics, Lighting, Manufacturing","43,221",5,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,5001-10000,Shinji Murakoshi,3,100400000,CNY,14688709,IPO,1/8/10,38000000,CNY,5606363,Series C,38000000,CNY,5606363,Series C,100400000,CNY,14688709,"IDG Capital, Platinum Venture Capital, Sinowisdom",,3,,,,,,,,,,,,,,Public,20/4/12,,,,,,,,,2660,https://www.crunchbase.com/ipo/moso-ipo--890aab1c,SHE,,"44,563",,-0.2,-0.2,-0.7,,,,,,,,,,,,,7,,,,,,,,,,,1/3/06,month,20/4/12,day,For Profit,,,,,"Consumer Electronics, Hardware, Manufacturing"
ANNGIC (Shenzhen Anzhijie Technology Co.),https://www.crunchbase.com/organization/anngic-shenzhen-anzhijie-technology-co,"Electronics, Hardware, Information Technology, Manufacturing, Robotics, Sensor","43,797",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,7271000,USD,7271000,Early Stage Venture,13/8/18,7271000,USD,7271000,Series A,7271000,USD,7271000,Series A,7271000,USD,7271000,Fortune Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"45,160",,-0.1,-0.1,1.6,549,"1,203.63",-64.24%,11,-92.94%,2.84,-36.29%,69.37%,41.28%,"15,242,622","7,657,846",100.96%,5,,,,,,,,,,,1/1/16,year,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software"
Chargerlink,https://www.crunchbase.com/organization/chargerlink,"Automotive, Electric Vehicle, Manufacturing","43,955",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Neo Wang,2,22923000,USD,22923000,Early Stage Venture,6/8/18,2923000,USD,2923000,Series A,2923000,USD,2923000,Series A,22923000,USD,22923000,CDH Investments,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"45,328",,0.1,-0.3,-0.5,"1,247","2,403.34",-14.90%,139,111%,1.11,-27.91%,88.55%,8.49%,"11,947,276","1,631,504",15.82%,11,3,"13,837",,,,,,,,,1/1/14,year,,,For Profit,,,,,"Manufacturing, Transportation"
International Intelligent Machines,https://www.crunchbase.com/organization/international-intelligent-machines,"Manufacturing, Robotics","46,497",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,20000000,USD,20000000,Early Stage Venture,22/8/18,20000000,USD,20000000,Series A,20000000,USD,20000000,Series A,20000000,USD,20000000,China Merchants Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"47,979",,0.6,0,0,"1,899","2,715.72",95.64%,123,-7.48%,4.72,109.58%,21.76%,-17.29%,"6,179,880","-5,529,575",-47.22%,14,,,,,,,,,,,1/1/15,year,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software"
Yunmai Technology,https://www.crunchbase.com/organization/yunmai-technology,"Health Care, Manufacturing, Mobile Apps, Wearables","46,540",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Xian Feng Yang,1,15800000,USD,15800000,Early Stage Venture,3/4/18,15800000,USD,15800000,Series B,15800000,USD,15800000,Series B,15800000,USD,15800000,"Fortune Fountain Capital, Hongjinwen Fund, Ribo Fashion Group",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"48,024",,-0.4,-0.2,-0.3,"4,102","23,649.91",-36.49%,106,-31.26%,2.69,-20.96%,53.02%,4.63%,"4,322,650","1,541,047",55.40%,12,,,,,,,,,,,,,,,,,,,,"Apps, Consumer Electronics, Hardware, Health Care, Manufacturing, Mobile, Software"
Taobotics,https://www.crunchbase.com/organization/taobotics,"Artificial Intelligence, Consumer Goods, Machine Learning, Manufacturing","47,542",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",4,Nov-50,"Fandi Peng, Wenke Ma, Xiangru (Mark) Nie, Zhikang Wang",1,150000,USD,150000,Seed,18/3/19,150000,USD,150000,Seed,150000,USD,150000,Seed,150000,USD,150000,Y Combinator,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"49,072",,-0.1,-0.4,-0.7,883,"1,844.93",-65.75%,51,,1.16,16.40%,80.89%,-3.45%,"14,095,407","5,709,035",68.08%,7,,,,,,,,,,,1/1/18,year,,,,,,,,"Artificial Intelligence, Consumer Goods, Data and Analytics, Manufacturing, Science and Engineering, Software"
KOTURA,https://www.crunchbase.com/organization/kotura,"Manufacturing, Optical Communication, Semiconductor","47,686",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,51-100,,4,38690547,USD,38690547,M&A,5/11/09,4690547,USD,4690547,Series D,4690547,USD,4690547,Series D,38690547,USD,38690547,"ARCH Venture Partners, ComVentures, Fuse Capital, GF Private Equity, Viterbi Group",1,6,2,"Made Acquisitions, Was Acquired",KOTURA acquired by Mellanox Technologies,https://www.crunchbase.com/acquisition/mellanox-technologies-acquires-kotura--febd7411,Mellanox Technologies,https://www.crunchbase.com/organization/mellanox-technologies,22/8/13,day,,,,,,Private,,,,,,,,,,,,,,"49,221",,0.5,-0.1,-0.4,359,328.08,563.33%,,,1,0%,100%,0%,"21,860,897","-12,841,878",-37.01%,4,,,4,,,,,,,,1/1/04,year,22/8/13,day,,,,,,"Hardware, Manufacturing, Science and Engineering"
Yistar,https://www.crunchbase.com/organization/yistar,"Electronics, Hardware, Manufacturing","48,556",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,10000000,CNY,1495394,Seed,27/2/19,10000000,CNY,1495394,Angel,10000000,CNY,1495394,Angel,10000000,CNY,1495394,Plum Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"50,129",,-0.1,-0.1,-1.9,"18,379,564","17,860,174.15",7.56%,188,10.05%,2.68,3.47%,56.45%,-0.10%,"3,765",-239,-5.97%,,8,"150,501",,,,,,,,,1/1/18,year,,,,,,,,"Consumer Electronics, Hardware, Manufacturing"
Sunway Communication,https://www.crunchbase.com/organization/shenzhen-sunway-communication-co-ltd,"Manufacturing, Mobile, Telecommunications","49,316",1,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,1-Oct,,2,40800000,CNY,5984537,IPO,1/7/10,12000000,CNY,1769643,Series B,12000000,CNY,1769643,Series B,40800000,CNY,5984537,"OFC, Shenzhen Capital Group",,2,1,Made Acquisitions,,,,,,,,,,,,Public,12/11/10,,,,,,,,,300136,https://www.crunchbase.com/ipo/shenzhen-sunway-communication-co-ltd-ipo--1af0a48d,SHE,,"50,926",,0.2,-0.1,-0.4,,,,,,,,,,,,,1,,,,5,0,Basic Electric Elements,Scientific and electric apparatus and instruments,,,,27/4/06,day,12/11/10,day,For Profit,,,,,"Hardware, Manufacturing, Mobile"
Jim Koala,https://www.crunchbase.com/organization/jim-koala,"Artificial Intelligence, Manufacturing, Robotics","51,596",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,1,10000000,CNY,1489989,Seed,1/4/19,10000000,CNY,1489989,Angel,10000000,CNY,1489989,Angel,10000000,CNY,1489989,Gold Buffalo,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"53,300",,-0.3,-1,9.5,,34.35,-100%,,,,,,,,,,2,,,,,,,,,,,1/1/18,year,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software"
Taidu Technology,https://www.crunchbase.com/organization/taidu-technology,"Gaming, Manufacturing, Product Design","51,960",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",3,,"Mengyao Yu, Pei Yang, Xiaofeng Li",1,7700000,USD,7700000,Early Stage Venture,25/4/16,7700000,USD,7700000,Series A,7700000,USD,7700000,Series A,7700000,USD,7700000,"Handuo, Hengxing Ventures, Prometheus Capital, Puju Ventures",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"53,674",,-0.4,-0.3,-0.6,"11,092","9,548.07",-4.25%,114,99.42%,5.75,14.01%,18.20%,4.54%,"1,560,957","-6,878",-0.44%,9,1,,,,,,,,,,5/11/14,day,,,For Profit,,,,,"Design, Gaming, Manufacturing"
HUAZHI IMT,https://www.crunchbase.com/organization/huazhi-imt,"Intelligent Systems, Manufacturing","53,658",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,15000000,USD,15000000,Early Stage Venture,11/1/18,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,15000000,USD,15000000,"Gaorong Capital, Ying Capital",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"55,448",,-0.1,-0.3,1.1,674,"1,285.64",-75.93%,62,-75.71%,8,188.60%,0%,-31.40%,"9,830,963","4,138,545",72.70%,3,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Manufacturing, Science and Engineering"
Livall Riding,https://www.crunchbase.com/organization/livall-riding,"Cycling, Leisure, Manufacturing, Music, Sporting Goods","54,130",9,$1M to $10M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",2,Nov-50,"Brian Zheng, Yong Liu",1,13000000,USD,13000000,Early Stage Venture,30/7/15,13000000,USD,13000000,Series A,13000000,USD,13000000,Series A,13000000,USD,13000000,China Equity,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"55,945",,0.3,0.3,0,"13,376","26,133.17",21.21%,113,15.45%,1.74,-41.49%,39.51%,0.08%,"2,355,678","180,363",8.29%,9,,,,,,,,,,,1/1/14,year,,,For Profit,,,,,"Commerce and Shopping, Community and Lifestyle, Manufacturing, Media and Entertainment, Music and Audio, Sports"
Doogee,https://www.crunchbase.com/organization/doogee,"Consumer Electronics, Manufacturing, Mobile, Mobile Devices","54,519",1,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,,15/1/19,95004,USD,95004,Product Crowdfunding,,,,,95004,USD,95004,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"56,346",,-0.1,1.3,-0.2,"1,560,674","1,506,425.50",-1.01%,138,-3.51%,3.05,-1.61%,2.47%,-0.19%,"22,917",4,0.02%,51,,,,,,,,,,,1/1/13,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Manufacturing, Mobile"
Helmholtz,https://www.crunchbase.com/organization/heimholtz,"Automotive, Manufacturing, Transportation","54,940",,,,,,,,,,,,,,,"Zhenjiang, Guangdong, China",,,,1,30000000,CNY,4437607,Early Stage Venture,13/2/19,30000000,CNY,4437607,Series A,30000000,CNY,4437607,Series A,30000000,CNY,4437607,CASH Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"56,791",,0,-0.3,-2.3,,,,,,,,,,,,,,,,,,,,,,,,1/1/16,year,,,,,,,,"Manufacturing, Transportation"
Shenzhen Yibo Electronics Co.,https://www.crunchbase.com/organization/shenzhen-yibo-electronics-co,Manufacturing,"57,401",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,70000000,CNY,10338817,,20/7/18,70000000,CNY,10338817,Venture - Series Unknown,70000000,CNY,10338817,Venture - Series Unknown,70000000,CNY,10338817,Yihua Enterprise (Group),1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"59,372",,0,0.5,-0.1,113,241.5,-80.86%,33,108.95%,2,-2.09%,0%,-47.87%,"29,308,390","14,412,338",96.75%,3,,,,,,,,,,,1/7/97,month,,,,,,,,Manufacturing
Xinguodu,https://www.crunchbase.com/organization/shenzhen-xinguodu-technology-co-ltd,"Banking, Manufacturing, Payments","57,556",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,Nov-50,Liu Xiang,2,21510000,CNY,3101440,IPO,1/9/09,1500000,CNY,219615,Series B,1500000,CNY,219615,Series B,21510000,CNY,3101440,Shenzhen Capital Group,,1,2,Made Acquisitions,,,,,,,,,,,,Public,29/10/10,,,,,,,,,300130,https://www.crunchbase.com/ipo/shenzhen-xinguodu-technology-co-ltd-ipo--a74be5ef,SHE,,"59,532",,0,-0.2,3.2,"19,146","17,821.73",12.63%,365,90.02%,7.91,16.80%,17.25%,-1.77%,"1,036,184","-104,449",-9.16%,14,,,5,"4,444",2,Basic Electric Elements,Scientific and electric apparatus and instruments,,,,31/7/01,day,29/10/10,day,For Profit,,,,,"Financial Services, Lending and Investments, Manufacturing, Payments"
Shenzhen Star River Interactive Technology (XianyuGame),https://www.crunchbase.com/organization/shenzhen-star-river-interactive-technology-xianyugame,"Digital Entertainment, Manufacturing, Sports","58,060",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,180000000,CNY,26056557,Early Stage Venture,9/5/17,180000000,CNY,26056557,Series B,180000000,CNY,26056557,Series B,180000000,CNY,26056557,"Huayi Brothers Media Group, Yao",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"60,075",,0.9,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manufacturing, Media and Entertainment, Sports"
Edan Instruments,https://www.crunchbase.com/organization/edan,"Electronics, Manufacturing, Medical Device","59,865",2,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,1-Oct,,2,14559616,USD,14559616,IPO,1/12/09,31130000,CNY,4559616,Series B,31130000,CNY,4559616,Series B,14559616,USD,14559616,"Matrix Partners China, SAIF Partners, WI Harper Group",,3,,,,,,,,,,,,,,Public,29/4/11,,,,,,,,,300206,https://www.crunchbase.com/ipo/edan-ipo--c9a5f7cb,SHE,,"61,966",,-0.3,-0.2,-0.1,"15,252","14,730.33",-1.10%,109,-19.92%,3.31,-2.81%,37.53%,0.62%,"1,653,416","64,464",4.06%,9,3,,,36,5,Medical Or Veterinary Science; Hygiene,Medical apparatus and instruments,,,,1/1/02,year,29/4/11,day,For Profit,,,,,"Consumer Electronics, Hardware, Health Care, Manufacturing"
Tatfook,https://www.crunchbase.com/organization/tatfook,"Hardware, Manufacturing","60,163",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,2800000000,CNY,407035906,IPO,26/9/18,2800000000,CNY,407035906,Post-IPO Equity,2800000000,CNY,407035906,Post-IPO Equity,2800000000,CNY,407035906,Xing Gang Investment,1,1,,,,,,,,,,,,,,Public,26/10/10,,,,,,,,,SHE:300134,https://www.crunchbase.com/ipo/tatfook-ipo--6c0381ca,SZSE,,"62,279",,-0.2,0,-0.3,948,"1,442.84",-50.57%,84,55.73%,2.12,-61.98%,28.06%,-9.28%,"11,824,685","6,254,844",112.30%,17,,,,,,,,,,,4/6/01,day,26/10/10,day,,,,,,"Hardware, Manufacturing"
Bitewei,https://www.crunchbase.com/organization/bitewei,Manufacturing,"61,212",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Yang Zuoxing,1,140000000,CNY,20405783,,12/9/18,140000000,CNY,20405783,Venture - Series Unknown,140000000,CNY,20405783,Venture - Series Unknown,140000000,CNY,20405783,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"63,377",,0.3,0.5,-0.3,,,,,,,,,,,,,,,,,,,,,,,,1/7/16,month,,,,,,,,Manufacturing
Sino MDT,https://www.crunchbase.com/organization/sino-mdt,"Computer, Manufacturing, Medical Device","63,673",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,3990000,USD,3990000,Early Stage Venture,1/3/13,3990000,USD,3990000,Series A,3990000,USD,3990000,Series A,3990000,USD,3990000,Qiming Venture Partners,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"66,000",,1.3,0.1,1.3,"1,332","1,127.51",322.86%,238,-22.92%,4.83,-19.48%,37.09%,37.09%,"7,996,595","-7,548,335",-48.56%,5,,,,,,,,,,,1/3/07,day,,,For Profit,,,,,"Consumer Electronics, Hardware, Health Care, Manufacturing"
Pinwine.cn,https://www.crunchbase.com/organization/pinwine-cn,"E-Commerce, Manufacturing, Retail","64,233",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Huijun Zhang,2,15000000,CNY,2315460,Early Stage Venture,1/3/13,,,,Series B,,,,Series B,15000000,CNY,2315460,"China Equity, Shenzhen Cowin Venture Capital Investments",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"66,583",,-0.3,0.5,-0.1,"46,203","61,213.50",-16.27%,0,-98.72%,1.06,-5.95%,31.88%,17.25%,"1,293,088","216,094",20.06%,13,3,584,1,,,,,,,,1/10/09,day,,,,,,,,"Commerce and Shopping, Manufacturing"
Mengcao,https://www.crunchbase.com/organization/mengcao,"Agriculture, Energy, Manufacturing, Water","66,072",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,501-1000,,1,50000000,CNY,7373515,Early Stage Venture,1/7/10,50000000,CNY,7373515,Series A,50000000,CNY,7373515,Series A,50000000,CNY,7373515,Sequoia Capital China,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"68,550",,0.8,0.5,1.2,"1,569",857.18,-4.35%,578,-63.10%,111.32,-49.06%,24.28%,2.21%,"2,246,768","351,931",18.57%,14,,,3,,,,,,,,1/1/01,year,,,,,,,,"Agriculture and Farming, Energy, Manufacturing, Natural Resources"
Czur scanner,https://www.crunchbase.com/organization/czur-scanner,Manufacturing,"67,458",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,,30/10/18,581513,USD,581513,Product Crowdfunding,,,,,581513,USD,581513,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"70,032",,0.1,1,-0.2,"49,600","48,195.53",13.69%,140,23.99%,3.29,19.90%,27.97%,-7.09%,"708,904","-91,144",-11.39%,17,,,,,,,,,,,,,,,For Profit,,,,,Manufacturing
ATRUSTY,https://www.crunchbase.com/organization/atrusty,"Furniture, Manufacturing","71,256",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,10000000,CNY,1461283,Seed,2/8/18,10000000,CNY,1461283,Angel,10000000,CNY,1461283,Angel,10000000,CNY,1461283,Galaxy Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"74,114",,-0.2,0,0.7,,166.69,-100%,,,,,,,,,,7,,,,,,,,,,,1/1/17,year,,,,,,,,"Consumer Goods, Manufacturing"
Sinosun Technology,https://www.crunchbase.com/organization/sinosun-technology,"Developer Platform, Manufacturing, Security","72,267",1,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,4,18097639,USD,18097639,IPO,1/12/10,1000000,USD,1000000,Series D,1000000,USD,1000000,Series D,18097639,USD,18097639,"Fortune Venture Capital, Funding Global Innovation, GGV Capital, Intel Capital, JAFCO Asia",,5,,,,,,,,,,,,,,Public,28/6/12,,,,,,,,,300333,https://www.crunchbase.com/ipo/sinosun-technology-ipo--71965c84,SHE,,"75,221",,-0.1,-0.4,-0.1,"7,240","5,647.71",-27.10%,365,-70.89%,10.35,-35.83%,4.95%,-4.37%,"1,919,653","608,310",46.39%,3,,,5,1,3,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,28/6/12,day,,,,,,"Manufacturing, Privacy and Security, Software"
BTR,https://www.crunchbase.com/organization/btr,"Battery, Electronics, Manufacturing","73,005",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,1623640,USD,1623640,Early Stage Venture,1/8/10,1623640,USD,1623640,Series A,1623640,USD,1623640,Series A,1623640,USD,1623640,Qiming Venture Partners,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"76,043",,-0.2,-0.1,1.4,"2,444","2,392.43",48.60%,182,115.72%,2.81,23.47%,43.45%,-10.04%,"6,240,414","-2,150,405",-25.63%,3,,,3,,,,,,,,1/1/00,year,,,,,,,,"Consumer Electronics, Energy, Hardware, Manufacturing"
Guangjing Technology,https://www.crunchbase.com/organization/guangjing-technology,"Electronics, Manufacturing, Mobile","73,178",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,2,250000000,CNY,36380884,Late Stage Venture,7/11/18,150000000,CNY,21676300,Series C,150000000,CNY,21676300,Series C,250000000,CNY,36380884,China Merchants Zhiyuan Capital Investment,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"76,226",,-0.1,0.4,-0.9,,,,,,,,,,,,,,,,,,,,,,,,1/1/06,year,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Mobile"
Shunwei,https://www.crunchbase.com/organization/shunwei,"Indoor Positioning, Manufacturing","74,634",1,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,7700000,USD,7700000,Early Stage Venture,7/9/17,7700000,USD,7700000,Series A,7700000,USD,7700000,Series A,7700000,USD,7700000,Fosun RZ Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"77,794",,0.4,0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,1/1/14,year,,,For Profit,,,,,"Manufacturing, Navigation and Mapping"
Times pace Intelligent Technology,https://www.crunchbase.com/organization/guangzhou-times-pace-intelligent-technology-co-ltd,"Manufacturing, RFID","75,388",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",1,,Qingquan Shen,3,12000000,CNY,1903509,Early Stage Venture,1/4/12,,,,Series B,,,,Series B,12000000,CNY,1903509,Shenzhen Capital Group,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"78,618",,-0.2,0.3,3.3,,127.15,,,,,,,,,,,9,,,,,,,,,,,1/1/07,year,,,For Profit,,,,,"Hardware, Manufacturing"
Xiangya Group,https://www.crunchbase.com/organization/xiangya-group,"Alternative Medicine, Health Care, Manufacturing","76,696",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,1-Oct,,1,20000000,USD,20000000,IPO,1/3/10,20000000,USD,20000000,Venture - Series Unknown,20000000,USD,20000000,Venture - Series Unknown,20000000,USD,20000000,SAIF Partners,,1,,,,,,,,,,,,,,Public,14/12/18,,,,,,,,,1837,https://www.crunchbase.com/ipo/xiangya-group-ipo--819add5b,HKG,,"80,023",,-0.2,-0.1,0.2,"29,954","23,155",37.15%,75,142.16%,4.19,123.70%,74.27%,7.12%,"865,277","-564,735",-39.49%,8,,,1,,,,,,,,1/1/06,year,14/12/18,day,,,,,,"Health Care, Manufacturing"
Innetech,https://www.crunchbase.com/organization/innetech,"3D Technology, Manufacturing, Product Design","78,110",,,,,,,,,,,,,,,"Tianjin, Guangdong, China",,,,1,4880000,USD,4880000,Early Stage Venture,17/9/13,4880000,USD,4880000,Series A,4880000,USD,4880000,Series A,4880000,USD,4880000,"Boxin Capital, Vertex Ventures, Vertex Ventures China",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"81,562",,-0.3,-0.2,1.7,,,,,,,,,,,,,4,,,,,,,,,,,1/5/06,month,,,For Profit,,,,,"Design, Hardware, Manufacturing, Software"
