Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
ePropulsion Innovation,https://www.crunchbase.com/organization/epropulsion-innovation,"Automotive, Electrical Distribution, Electronics, Manufacturing, Marine Technology","39,472",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,11-50,,1,10000000,USD,10000000,,2018-06-08,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,Beyond Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"40,684",,0.3,0.8,1.6,"7,680","3,676.04",205.57%,136,15.47%,2.59,6.56%,27.67%,-6.78%,"3,055,118","-3,408,295",-52.73%,3,,,,,,,,,,,2012-01-01,year,,,,,,,,"Consumer Electronics, Energy, Hardware, Manufacturing, Science and Engineering, Transportation"
iView Displays,https://www.crunchbase.com/organization/iview-displays,"Electronics, Information Technology, Manufacturing","40,721",,$1M to $10M,,,,,,,,,,,,,"Wan Chai, Hong Kong Island, Hong Kong",,11-50,,2,36398707,USD,36398707,Late Stage Venture,2018-11-07,21643460,USD,21643460,Series C,21643460,USD,21643460,Series C,36398707,USD,36398707,"China Merchants Zhiyuan Capital Investment, China Merger & Acquisition Fund",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"41,983",,-0.2,1.1,-0.3,"2,127","3,474.88",35.08%,172,-42.79%,4.38,-31.79%,12.61%,12.61%,"5,815,355","-443,002",-7.08%,4,,,2,,,,,,,,2006-01-01,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing"
Peros Industries,https://www.crunchbase.com/organization/peros-industries,"Manufacturing, Renewable Energy","57,519",,,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",1,1-10,Paul Peros,2,650000,USD,650000,Seed,2018-12-01,300000,USD,300000,Seed,300000,USD,300000,Seed,650000,USD,650000,Paul Peros,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"59,495",,-0.1,0,-0.2,,25.78,,,,,,,,,,,4,,,,,,,,,,,2018-07-01,day,,,For Profit,,,,,"Energy, Manufacturing, Sustainability"
3DNA Eyewear,https://www.crunchbase.com/organization/3dna-technology-co-ltd,"Eyewear, Manufacturing, Retail, Retail Technology, SaaS","63,115",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,1-10,,1,30000,USD,30000,Seed,2018-05-05,30000,USD,30000,Seed,30000,USD,30000,Seed,30000,USD,30000,Betatron,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"65,410",,0,-0.1,-0.2,,,,,,,,,,,,,4,,,,,,,,,,,2018-03-01,day,,,For Profit,,,,,"Commerce and Shopping, Consumer Goods, Hardware, Manufacturing, Software"
Arist Home Ltd.,https://www.crunchbase.com/organization/arist-inc-,"Coffee, Internet of Things, Manufacturing, Smart Home","63,614",6,,,,,,,,,,,,,,"Sha Tin, New Territories, Hong Kong",1,11-50,Nelson Chiu,1,,,,,2014-10-24,845319,USD,845319,Product Crowdfunding,,,,,845319,USD,845319,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"65,939",,-0.3,0.7,-0.3,669,508.38,-13.72%,137,"34,841.36%",4.32,211.95%,60.33%,-20.36%,"11,621,426","-2,734,672",-19.05%,13,,,10,,,,,,,,2014-01-01,year,,,For Profit,,,,,"Consumer Electronics, Food and Beverage, Internet Services, Manufacturing, Real Estate"
Global Sources,https://www.crunchbase.com/organization/global-sources,"Advertising, B2B, E-Commerce, Internet, Manufacturing","74,625",123,,1,,,,,,,,,,,,"Aberdeen, Hong Kong Island, Hong Kong",1,1001-5000,Merle Allan Hinrichs,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Global Sources acquired by Blackstone Group,https://www.crunchbase.com/acquisition/blackstone-acquires-global-sources--5b65e817,Blackstone Group,https://www.crunchbase.com/organization/blackstone,2017-06-01,month,,,,Leveraged Buyout,,Delisted,2000-04-28,2017-08-28,day,,,,,,,GSOL,https://www.crunchbase.com/ipo/global-sources-ipo--95d23858,NASDAQ,1,"77,785",,-0.1,0,1.5,"17,607,201","17,524,713.63",6.33%,91,-6.91%,2.01,-6.57%,73.32%,3.3%,"4,455",-43,-0.96%,29,6,"6,564",19,,,,,,,,1970-01-01,year,2000-04-28,day,,,,1,,"Advertising, Commerce and Shopping, Internet Services, Manufacturing, Sales and Marketing"
TECNO Mobile,https://www.crunchbase.com/organization/tecno-mobile,"Consumer Goods, Drones, E-Commerce, iOS, Manufacturing, Mobile, Telecommunications, Web Design","81,061",17,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"84,793",,0,1.2,1.8,"526,848","605,862.38",-35.83%,97,2.76%,2.09,10.52%,68.83%,-1.45%,"135,338","39,192",40.76%,49,8,,10,,,,,,,,2006-07-01,month,,,For Profit,,,,,"Commerce and Shopping, Consumer Electronics, Consumer Goods, Design, Hardware, Manufacturing, Mobile, Platforms, Software"
BBPOS,https://www.crunchbase.com/organization/bbpos,"Information Technology, Manufacturing, Payments","88,035",1,Less than $1M,,,,,,,,,,,,,"Tsuen Wan, New Territories, Hong Kong",2,101-250,"Ben Lo, Jimmy Tang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3,"92,410",,0.2,0.7,0.4,"10,119","8,688.04",-0.43%,92,-25.84%,1.98,-47.45%,50.75%,7.53%,"2,673,676","620,628",30.23%,48,,,14,,,,,,,,2008-01-01,year,,,For Profit,,,,,"Financial Services, Information Technology, Manufacturing, Payments"
Makeomnia Limited,https://www.crunchbase.com/organization/makeomnia-limited,"3D Printing, Alumni, Education, Hardware, Manufacturing","91,055",,,,,,,,,,,,,,,"Mong Kok, Kowloon, Hong Kong",,,,1,41250,USD,41250,Seed,2015-08-01,41250,USD,41250,Seed,41250,USD,41250,Seed,41250,USD,41250,Cyberport Hong Kong,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"95,748",,0.7,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,For Profit,,,,,"Education, Hardware, Manufacturing"
Native Union,https://www.crunchbase.com/organization/native-union,"Consumer Electronics, Hardware, Manufacturing, Software","98,834",34,$10M to $50M,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",2,51-100,"Igor Duc, John Brunner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"104,322",,-0.1,-0.2,-0.7,,,,,,,,,,,,,77,,,,,,,,,,,2009-01-01,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Manufacturing, Software"
