Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
CyberMiles,https://www.crunchbase.com/organization/cybermiles,"Blockchain, E-Commerce Platforms, Information Technology, Internet","17,239",1,,1,,,,,,,,,,,,"Central, Hong Kong Island, Hong Kong",2,11-50,"Liang Lu, Michael Yuan",1,30000000,USD,30000000,,2017-11-22,30000000,USD,30000000,Initial Coin Offering,30000000,USD,30000000,Initial Coin Offering,30000000,USD,30000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"17,765",,0.5,2.1,3.5,"17,004","24,959.19",-19.85%,109,101.46%,2.98,26.51%,37.52%,14.04%,"1,526,412","45,885",3.1%,33,,,,,,,,,,,2017-01-01,year,,,For Profit,,,1,,"Commerce and Shopping, Information Technology, Internet Services"
Pulse iD,https://www.crunchbase.com/organization/pulse-id,Information Technology,"18,602",1,,,,,,,,,,,,,,"Quarry Bay, Hong Kong Island, Hong Kong",2,11-50,"Alex Topaloski, Shak Tiwari",1,3800000,USD,3800000,Early Stage Venture,2017-04-11,3800000,USD,3800000,Series A,3800000,USD,3800000,Series A,3800000,USD,3800000,"Digital Ventures, Investec, SCB Group, Tuas Capital Partners",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"19,162",,-0.2,0.8,1.1,"1,125","3,410.09",-31.02%,178,-33.82%,4.65,28.75%,14.71%,-41.87%,"9,134,416","1,424,766",18.48%,29,,,16,,,,,,,,2016-01-01,year,,,For Profit,,,,,Information Technology
PressLogic,https://www.crunchbase.com/organization/presslogic,"Content Marketing, Digital Marketing, Digital Media, Information Technology, Lifestyle, Software","18,923",1,,,,,,,,,,,,,,"Kowloon City, Kowloon, Hong Kong",2,101-250,"Edward Chow, Ryan Cheung",1,10000000,USD,10000000,Early Stage Venture,2018-11-07,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,10000000,USD,10000000,Meitu,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"19,490",,0.2,-0.1,-0.3,"891,620","1,110,800.55",-14.17%,79,3.32%,1.96,-3.29%,52.25%,1.53%,"82,148","11,005",15.47%,28,,,,,,,,,,,2016-01-01,year,,,For Profit,,,,,"Community and Lifestyle, Information Technology, Media and Entertainment, Sales and Marketing, Software"
Pakpobox,https://www.crunchbase.com/organization/pakpobox-hong-kong-limited,"Cloud Computing, Information Technology, Internet of Things, Laundry and Dry-cleaning, Shopping","21,925",3,$1M to $10M,,,,,,,,,,,,,"New Territories, New Territories, Hong Kong",4,11-50,"Christian Secci, Eric Choi, Matthew Ng, Sheldon Li",2,2320000,USD,2320000,Seed,2018-11-26,1120000,USD,1120000,Seed,1120000,USD,1120000,Seed,2320000,USD,2320000,"Betatron, Infinity Ventures, SQ Capital Group, The Aria Group",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"22,582",,0.1,-0.2,-0.4,956,"1,319.55",-57.31%,59,,2.92,191.9%,54.84%,22.77%,"10,961,867","177,603",1.65%,13,,,,,,,,,,,2013-01-01,year,,,For Profit,,,,,"Clothing and Apparel, Commerce and Shopping, Information Technology, Internet Services, Software"
Shellanoo Group,https://www.crunchbase.com/organization/shellanoo-group,"Incubators, Information Technology","22,952",1,$10M to $50M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,51-100,"Shai Azran, Uzi Refaeli",2,60000000,USD,60000000,Early Stage Venture,2015-03-01,55000000,USD,55000000,Series B,55000000,USD,55000000,Series B,60000000,USD,60000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"23,643",,0,1.8,1.1,,,,,,,,,,,,,4,7,,,,,,,,,,2014-08-01,day,,,For Profit,,,,,"Financial Services, Information Technology, Lending and Investments"
Ybex,https://www.crunchbase.com/organization/ybex-limited,"Apps, Financial Services, FinTech, Information Technology","27,310",1,,,,,,,,,,,,,,"Wan Chai, Hong Kong Island, Hong Kong",2,11-50,"Andrew Lee, Hui Li",2,1510000,USD,1510000,Seed,2017-04-12,1250000,USD,1250000,Seed,1250000,USD,1250000,Seed,1510000,USD,1510000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"28,131",,0,0.3,-0.4,"75,900","107,741.3",-26.07%,136,56.55%,2.66,71.08%,66.68%,-1.94%,"605,577","10,907",1.83%,55,2,"2,660",23,,,,,,,,2015-01-01,year,,,For Profit,,,,,"Apps, Financial Services, Information Technology, Software"
DimBuy.com Company Limited,https://www.crunchbase.com/organization/dimbuy-com-company-limited,"E-Commerce, Information Technology, Logistics, Online Portals","28,713",2,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,51-100,Jimmy Ling,1,10000000,HKD,1289925,Early Stage Venture,2016-01-06,10000000,HKD,1289925,Series A,10000000,HKD,1289925,Series A,10000000,HKD,1289925,S.F. Express,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"29,582",,-0.1,0,-0.2,"217,408","261,461.88",-6.9%,292,14.87%,6.98,5.94%,17.71%,-4.38%,"178,999","15,100",9.21%,31,3,,,,,,,,,,2011-02-17,day,,,For Profit,,,,,"Commerce and Shopping, Information Technology, Internet Services, Transportation"
BSD Education,https://www.crunchbase.com/organization/bsd-code-and-design-academy,"EdTech, Education, Information Technology, STEM Education","28,953",1,Less than $1M,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",3,11-50,"Christopher Geary, Naveen Khugputh, Nickey Khemchandani",3,4450000,USD,4450000,Early Stage Venture,2018-01-08,2500000,USD,2500000,Series A,2500000,USD,2500000,Series A,4450000,USD,4450000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"29,828",,-0.2,0.4,3.8,"44,127","36,230.74",0.05%,440,-6.26%,5.85,-34.11%,35.61%,22.66%,"681,493","137,921",25.37%,43,,,,,,,,,,,2013-09-01,month,,,For Profit,,,,,"Education, Information Technology, Science and Engineering, Software"
SmartUp,https://www.crunchbase.com/organization/smartup-b539,"Blockchain, Information Technology, Service Industry","33,321",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",3,,"Ender Xu, Fay Lam, Ric Wu",2,5000000,USD,5000000,,2018-09-11,,,,Corporate Round,,,,Corporate Round,5000000,USD,5000000,"Blockchain Japan, DCapital, Soul Capital",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"34,332",,-0.1,0.8,-0.3,,192.31,-100%,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,Information Technology
Li Tong Group,https://www.crunchbase.com/organization/li-tong-group,"Electronics, Information Technology, Recycling, Supply Chain Management","35,115",,$100M to $500M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,251-500,,1,45000000,USD,45000000,,2015-12-10,45000000,USD,45000000,Venture - Series Unknown,45000000,USD,45000000,Venture - Series Unknown,45000000,USD,45000000,Olympus Capital Holdings Asia,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"36,186",,-0.3,-0.2,0.4,"7,074","8,317.14",-21.89%,82,6.97%,4.14,9.11%,21.51%,2.38%,"2,639,797","358,601",15.72%,21,,,,,,,,,,,2000-01-01,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology, Sustainability, Transportation"
